Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
34,VK2RWN B Unlink,438.4000,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN B Unlink,       U,VK2RWN B,VK2RWN G
35,VK2RWN B LinkR01A,438.4000,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN B LinkR01A,REF001AL,VK2RWN B,VK2RWN G
36,VK2RWN B LinkD14B,438.4000,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN B LinkD14B,DCS014BL,VK2RWN B,VK2RWN G
37,VK2RWN C Terrey Hills,146.9625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN C Terrey Hills,CQCQCQ,VK2RWN C,VK2RWN G
38,VK2RWN C Echo,146.9625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN C Echo,       E,VK2RWN C,VK2RWN G
39,VK2RWN C Status,146.9625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN C Status,       I,VK2RWN C,VK2RWN G
40,VK2RWN C Unlink,146.9625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN C Unlink,       U,VK2RWN C,VK2RWN G
41,VK2RWN C LinkR01A,146.9625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN C LinkR01A,REF001AL,VK2RWN C,VK2RWN G
42,VK2RWN C LinkD14B,146.9625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN C LinkD14B,DCS014BL,VK2RWN C,VK2RWN G
43,VK2RAG 2 Someb,146.7250,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAG 2 Someb,,VK2RAG 2,
44,VK2RAGA2 Someb1,147.1250,+,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAGA2 Someb1,,VK2RAGA2,
45,VK2RCZ 2 Lalor,147.0750,+,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RCZ 2 Lalor,,VK2RCZ 2,
46,VK2RGR 2 NRyde,146.9250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RGR 2 NRyde,,VK2RGR 2,
47,VK2RLE 2 HCote,146.8000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RLE 2 HCote,,VK2RLE 2,
48,VK2RMB 2 THills,146.8750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RMB 2 THills,,VK2RMB 2,
49,VK2RNS 2 Asqith,147.2500,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RNS 2 Asqith,,VK2RNS 2,
50,VK2RRR 2 Razor,147.2750,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RRR 2 Razor,,VK2RRR 2,
51,VK2RST 2 Lewshm,147.2250,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RST 2 Lewshm,,VK2RST 2,
52,VK2RWC 2 Chats1,147.1500,+,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RWC 2 Chats1,,VK2RWC 2,
53,VK2RWS 2 portable,147.1750,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RWS 2 portable,,VK2RWS 2,
54,VK2RAG 7 Someb,438.0750,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAG 7 Someb,,VK2RAG 7,
55,VK2RAGA7 Someb1,439.5250,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAGA7 Someb1,,VK2RAGA7,
56,VK2RAGB7 Someb2,439.7250,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAGB7 Someb2,,VK2RAGB7,
57,VK2RAGC7 Someb3,439.9500,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAGC7 Someb3,,VK2RAGC7,
58,VK2RCZ 7 Lalor,439.4250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RCZ 7 Lalor,,VK2RCZ 7,
59,VK2RDC 7 Woy Woy,438.6500,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RDC 7 Woy Woy,,VK2RDC 7,
60,VK2RGW 7 Glenwood,439.4750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RGW 7 Glenwood,,VK2RGW 7,
61,VK2RHC 7 Hurstville,438.5500,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RHC 7 Hurstville,,VK2RHC 7,
62,VK2RHP 7 Horsley Park,439.7500,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RHP 7 Horsley Park,,VK2RHP 7,
63,VK2RHT 7 Chats,438.3500,-,5.400,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RHT 7 Chats,,VK2RHT 7,
64,VK2RLE 7 HCote,438.4250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RLE 7 HCote,,VK2RLE 7,
65,VK2RMB 7 THills,438.1750,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RMB 7 THills,,VK2RMB 7,
66,VK2RMR 7 Mt Riverview,439.5750,-,5.000,TSQL,123,123,023,NN,FM,5.00,S,VK2RMR 7 Mt Riverview,,VK2RMR 7,
67,VK2RNG 7 Werri,439.8500,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RNG 7 Werri,,VK2RNG 7,
68,VK2RNS 7 Asqith,439.9750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RNS 7 Asqith,,VK2RNS 7,
69,VK2RON 7 Artarmon,439.9250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RON 7 Artarmon,,VK2RON 7,
70,VK2RRR 7 Razor,439.6000,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RRR 7 Razor,,VK2RRR 7,
71,VK2RRS 7 Lewisham,438.4750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RRS 7 Lewisham,,VK2RRS 7,
72,VK2RSV 7 Sans Souci,439.3250,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RSV 7 Sans Souci,,VK2RSV 7,
73,VK2RSW 7 Blaxland,439.7750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RSW 7 Blaxland,,VK2RSW 7,
74,VK2RTG 7 Kariong,439.3000,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RTG 7 Kariong,,VK2RTG 7,
75,VK2RWS 7 Berowra North,438.2750,-,5.400,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RWS 7 Berowra North,,VK2RWS 7,
76,VK1RJB 2 Jervis,146.9250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK1RJB 2 Jervis,,VK1RJB 2,
77,VK2RHR 2 HRange,146.8250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RHR 2 HRange,,VK2RHR 2,
78,VK2RMU 2 NowraH,146.7000,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RMU 2 NowraH,,VK2RMU 2,
79,VK2RMW 2 Wandra,147.0750,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RMW 2 Wandra,,VK2RMW 2,
80,VK2RSH 2 SHigh,147.1000,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RSH 2 SHigh,,VK2RSH 2,
81,VK2RUW 2 Nites1,146.6750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RUW 2 Nites1,,VK2RUW 2,
82,VK2RUWA2 Nites2,146.9750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RUWA2 Nites2,,VK2RUWA2,
83,VK2RWP 2 WolumP,146.8250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RWP 2 WolumP,,VK2RWP 2,
84,VK2RHR 7 HRange,438.0250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RHR 7 HRange,,VK2RHR 7,
85,VK2RIW 7 Kiama,438.3000,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RIW 7 Kiama,,VK2RIW 7,
