Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Attenuator,Clock Shift,Half Dev,Vibrator,Fav,SYDCBD,VK2Sth,VK2Nth,VK2West,WICEN,MELCBD,VK3,VK4SE,VK4,VK5-8,VK6,VK7,APRS,Test,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,Marine Fav,Marine,Comment,User CTCSS,S-Meter Squelch,Bell,
24,147.1500,147.7500,0.600 MHz,PLUS,FM,VK2RWC 2 Chats1 ,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RWC 2 Chats1 Chatswood,,,
25,147.1750,147.7750,0.600 MHz,PLUS,FM,VK2RWS 2 - porta,None,-,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RWS 2 - portable,,,
26,438.0750,433.0750,5.000 MHz,MINUS,FM,VK2RAG 7 Someb S,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RAG 7 Someb Somersby,,,
27,439.5250,434.5250,5.000 MHz,MINUS,FM,VK2RAGA7 Someb1 ,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RAGA7 Someb1 Somersby,,,
28,439.7250,434.7250,5.000 MHz,MINUS,FM,VK2RAGB7 Someb2 ,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RAGB7 Someb2 Somersby,,,
29,439.9500,434.9500,5.000 MHz,MINUS,FM,VK2RAGC7 Someb3 ,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RAGC7 Someb3 Somersby,,,
30,438.6500,433.6500,5.000 MHz,MINUS,FM,VK2RCT 7 - Campb,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RCT 7 - Campbelltown,,,
31,439.4250,434.4250,5.000 MHz,MINUS,FM,VK2RCZ 7 Lalor L,None,-,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RCZ 7 Lalor Lalor Park,,,
32,438.6500,433.6500,5.000 MHz,MINUS,FM,VK2RDC 7 - Woy W,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RDC 7 - Woy Woy,,,
33,439.4750,434.4750,5.000 MHz,MINUS,FM,VK2RGW 7 - Glenw,None,-,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RGW 7 - Glenwood,,,
34,438.5500,433.5500,5.000 MHz,MINUS,FM,VK2RHC 7 - Hurst,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RHC 7 - Hurstville,,,
35,439.7500,434.7500,5.000 MHz,MINUS,FM,VK2RHP 7 - Horsl,None,-,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RHP 7 - Horsley Park,,,
36,438.3500,432.9500,5.400 MHz,MINUS,FM,VK2RHT 7 Chats C,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RHT 7 Chats Chatswood,,,
37,438.4250,433.4250,5.000 MHz,MINUS,FM,VK2RLE 7 HCote E,None,-,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RLE 7 HCote Engadine,,,
38,438.1750,433.1750,5.000 MHz,MINUS,FM,VK2RMB 7 THills ,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RMB 7 THills Terrey Hills,,,
39,439.5750,434.5750,5.000 MHz,MINUS,FM,VK2RMR 7 - Mt Ri,T Sql,123,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RMR 7 - Mt Riverview,,,
40,439.8500,434.8500,5.000 MHz,MINUS,FM,VK2RNG 7 Werri W,None,-,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RNG 7 Werri Werrington,,,
41,439.9750,434.9750,5.000 MHz,MINUS,FM,VK2RNS 7 Asqith ,None,-,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RNS 7 Asqith Hornsby,,,
42,439.9250,434.9250,5.000 MHz,MINUS,FM,VK2RON 7 - Artar,None,-,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RON 7 - Artarmon,,,
43,439.6000,434.6000,5.000 MHz,MINUS,FM,VK2RRR 7 Razor R,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RRR 7 Razor Razorback,,,
44,438.4750,433.4750,5.000 MHz,MINUS,FM,VK2RRS 7 - Lewis,None,-,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RRS 7 - Lewisham,,,
45,438.1000,433.1000,5.000 MHz,MINUS,FM,VK2RRW 7 - North,None,-,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RRW 7 - North Ryde,,,
46,439.3250,434.3250,5.000 MHz,MINUS,FM,VK2RSV 7 - Sans ,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RSV 7 - Sans Souci,,,
47,439.7750,434.7750,5.000 MHz,MINUS,FM,VK2RSW 7 - Blaxl,None,-,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RSW 7 - Blaxland,,,
48,439.3000,434.3000,5.000 MHz,MINUS,FM,VK2RTG 7 - Kario,None,-,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RTG 7 - Kariong,,,
49,438.2750,432.8750,5.400 MHz,MINUS,FM,VK2RWS 7 - Berow,T Sql,91.5,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,VK2RWS 7 - Berowra North,,,
50,146.9250,146.3250,0.600 MHz,MINUS,FM,VK1RJB 2 Jervis ,None,-,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,VK1RJB 2 Jervis Jervis Bay,,,
51,147.2500,147.8500,0.600 MHz,PLUS,FM,VK2RHH 2 Nimtbl ,None,-,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,VK2RHH 2 Nimtbl Nimmitabel,,,
52,146.8250,146.2250,0.600 MHz,MINUS,FM,VK2RHR 2 HRange ,None,-,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,VK2RHR 2 HRange High Range,,,
53,146.7000,146.1000,0.600 MHz,MINUS,FM,VK2RMU 2 NowraH ,T Sql,123,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,VK2RMU 2 NowraH Nowra Hill,,,
54,147.0750,147.6750,0.600 MHz,PLUS,FM,VK2RMW 2 Wandra ,None,-,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,VK2RMW 2 Wandra Mt Wandera,,,
55,147.1000,147.7000,0.600 MHz,PLUS,FM,VK2RSH 2 SHigh S,None,-,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,VK2RSH 2 SHigh Southern Highlands,,,
56,146.8250,146.2250,0.600 MHz,MINUS,FM,VK2RWP 2 WolumP ,None,-,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,VK2RWP 2 WolumP Wolumla Peak,,,
57,438.0250,433.0250,5.000 MHz,MINUS,FM,VK2RHR 7 HRange ,None,-,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,VK2RHR 7 HRange High Range,,,
58,438.3000,433.3000,5.000 MHz,MINUS,FM,VK2RIW 7 - Kiama,None,-,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,VK2RIW 7 - Kiama,,,
59,438.1250,433.1250,5.000 MHz,MINUS,FM,VK2RMU 7 NowraH ,T Sql,123,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,VK2RMU 7 NowraH Nowra Hill,,,
60,439.3750,434.3750,5.000 MHz,MINUS,FM,VK2RSH 7 - Alpin,None,-,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,VK2RSH 7 - Alpine,,,
61,439.9000,434.9000,5.000 MHz,MINUS,FM,VK2RWP 7 WolumP ,None,-,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,VK2RWP 7 WolumP Wolumla Peak,,,
62,146.6250,146.0250,0.600 MHz,MINUS,FM,VK2RBB 2 Byron G,T Sql,123,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RBB 2 Byron Goonengerry,,,
63,147.3500,147.9500,0.600 MHz,PLUS,FM,VK2RBO 2 Coorb C,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RBO 2 Coorb Cooranbong,,,
64,146.7500,146.1500,0.600 MHz,MINUS,FM,VK2RCB 2 FranLO ,T Sql,123,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RCB 2 FranLO Francis Lookout,,,
65,146.8500,146.2500,0.600 MHz,MINUS,FM,VK2RCH 2 Bruxnr ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RCH 2 Bruxnr Mt Coramba,,,
66,147.0000,146.4000,0.600 MHz,MINUS,FM,VK2RCN 2 TelePt ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RCN 2 TelePt Telegraph Point,,,
67,146.6750,146.0750,0.600 MHz,MINUS,FM,VK2RCV 2 Graft G,T Sql,123,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RCV 2 Graft Grafton,,,
68,146.6500,146.0500,0.600 MHz,MINUS,FM,VK2RDO 2 Dorrig ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RDO 2 Dorrig Dorrigo Plateau,,,
69,146.6750,146.0750,0.600 MHz,MINUS,FM,VK2REE 2 - Mount,T Sql,123,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2REE 2 - Mount Ganghat,,,
70,147.2500,147.8500,0.600 MHz,PLUS,FM,VK2REH 2 Woodbn ,T Sql,123,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2REH 2 Woodbn Moonimba,,,
