Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Attenuator,Clock Shift,Half Dev,Vibrator,Fav,SYDCBD,VK2Sth,VK2Nth,VK2West,WICEN,MELCBD,VK3,VK4SE,VK4,VK5-8,VK6,VK7,APRS,Test,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,C4FM,Marine Fav,Marine,Comment,User CTCSS,S-Meter Squelch,Bell,
1,438.1125,432.7125,5.400 MHz,MINUS,FM,VK2ROZ 7 - Sydne,T Sql,91.5,,,2.5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,VK2ROZ 7 - Sydney CBD,,,
2,438.1125,432.7125,5.400 MHz,MINUS,DV,VK2ROZ 4 - Sydne,None,-,,,2.5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,VK2ROZ 4 - Sydney CBD,,,
3,147.0250,147.6250,0.600 MHz,PLUS,FM,VK2ROT 2 Paddo P,T Sql,91.5,,,2.5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,VK2ROT 2 Paddo Paddington,,,
4,438.5750,433.5750,5.000 MHz,MINUS,FM,VK2ROT 7 Paddo P,T Sql,91.5,,,2.5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,VK2ROT 7 Paddo Paddington,,,
5,439.8000,434.8000,5.000 MHz,MINUS,FM,VK2RCG 7 - Sydne,T Sql,91.5,,,2.5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,VK2RCG 7 - Sydney,,,
6,438.4500,433.4500,5.000 MHz,MINUS,FM,VK2RCF 7 - Carli,T Sql,91.5,,,2.5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,VK2RCF 7 - Carlingford,,,
7,147.0000,146.4000,0.600 MHz,MINUS,FM,VK2RWI 2 Dural D,None,-,,,2.5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,VK2RWI 2 Dural Dural,,,
8,438.5250,433.5250,5.000 MHz,MINUS,FM,VK2RWI 7 Dural D,None,-,,,2.5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,VK2RWI 7 Dural Dural,,,
9,438.6000,433.6000,5.000 MHz,MINUS,FM,VK2RWIA7 Dural1 ,None,-,,,2.5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,VK2RWIA7 Dural1 Dural,,,
10,439.9000,434.9000,5.000 MHz,MINUS,FM,VK2RWIB7 Dural2 ,None,-,,,2.5,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,VK2RWIB7 Dural2 Dural,,,
