Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
14,Oceania,Upper Hutt,NZL,ZL2VH  B,ZL2VH  G,438.600000,DUP-,5.000000,DV,OFF,88.5Hz,NO,Exact,-41.147667,175.141333,+12:00
14,Oceania,Auckland,NZL,ZL1VHD B,ZL1VHD G,438.175000,DUP-,5.000000,DV,OFF,88.5Hz,NO,Exact,-37.357333,174.808667,+12:00
14,Oceania,Auckland,NZL,ZL1VHD C,ZL1VHD G,145.650000,DUP-,0.600000,DV,OFF,88.5Hz,NO,Exact,-37.357333,174.808667,+12:00
14,Oceania,AKL Musick Point,NZL,ZL1ZLD B,ZL1ZLD G,439.575000,DUP-,5.000000,DV,OFF,88.5Hz,NO,Exact,-36.847333,174.901500,+12:00
14,Oceania,Tauranga,NZL,ZL1TP  B,ZL1TP  G,433.025000,DUP+,5.000000,DV,OFF,88.5Hz,NO,Approximate,-37.725667,176.240333,+12:00
14,Oceania,Christchurch,NZL,ZL3TJH C,ZL3TJH G,144.550000,DUP-,0.000000,DV,OFF,88.5Hz,NO,Approximate,-43.531167,172.626167,+12:00
14,Oceania,Kapiti,NZL,ZL2KB  C,ZL2KB  G,144.350000,DUP-,0.000000,DV,OFF,88.5Hz,YES,None,0.000000,-0.000000,--:--
