CH No,Frequency,Dup,Offset,TS,Mode,Name,SKIP,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV SQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign
38,146.9625,DUP-,0.600,,DV,Winter Hill,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK5REX C,VK5REX G,
39,438.0750,DUP-,5.400,,DV,Renmark,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK5RMK B,VK5RMK G,
40,438.5250,DUP-,5.000,,DV,Brown Hill,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK5RVH B,VK5RVH G,
41,438.4000,DUP-,5.400,,DV,Banksia Park,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK5RWN B,VK5RWN G,
42,146.9375,DUP-,0.600,,DV,Banksia Park,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK5RWN C,VK5RWN G,
43,438.7500,DUP-,5.000,,DV,Palmerston,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK8RAD B,VK8RAD G,
44,146.7000,DUP-,0.600,,DV,Palmerston,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK8RAD C,VK8RAD G,
45,438.9250,DUP-,5.000,,DV,Hoddy Well,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK6RAV B,VK6RAV G,
46,438.1500,DUP-,5.400,,DV,Gosnells,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK6RLX B,VK6RLX G,
47,146.8625,DUP-,1.600,,DV,Gosnells,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK6RLX C,VK6RLX G,
48,438.1250,DUP-,5.400,,DV,East Fremantle,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK6ROX B,VK6ROX G,
49,438.1750,DUP-,5.400,,DV,Roleystone,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK6RWN B,VK6RWN G,
50,146.8375,DUP-,0.600,,DV,Roleystone,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK6RWN C,VK6RWN G,
51,146.9625,DUP-,0.600,,DV,LenahV,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK7RCR C,VK7RCR G,
52,438.1250,DUP-,5.400,,DV,Richmond,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK7RRR B,VK7RRR G,
53,438.2750,DUP-,5.400,,DV,portable,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK3RSD B,VK3RSD G,
54,146.8875,DUP-,0.600,,DV,portable,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK3RSD C,VK3RSD G,
55,438.1500,DUP-,5.400,,DV,portable,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK3RWW B,VK3RWW G,
56,438.3000,DUP-,5.400,,DV,portable,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK3RWWAB,VK3RWW G,
57,438.9500,DUP+,0.000,,DV,DHAP,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK2HDX B,VK2HDX G,
58,438.9500,DUP+,0.000,,DV,DHAP,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK2PSF B,VK2PSF G,
59,441.0750,DUP+,0.000,,DV,dv4dst,PSkip,OFF,,OFF,,,,,,CQCQCQ,VK2PSF D,VK2PSF G,
