CH No,Frequency,Dup,Offset,TS,Mode,Name,SKIP,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign
00,147.025000,DUP+,0.600000,12.5kHz,FM,Paddo 2m,OFF,TSQL,91.5Hz,91.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
01,438.575000,DUP-,5.000000,25kHz,FM,Paddo 70cm,OFF,TSQL,91.5Hz,91.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
02,438.775000,DUP-,5.000000,6.25kHz,DV,VK2BV B CQ,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,VK2RBV B,
03,438.950000,DUP-,0.000000,6.25kHz,DV,VK2PSF B  CQ,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,VK2PSF B,
