0Sort,Call U,mode,band,Output,Input,Call,mNemonic,Location,Service Area,S,ERP,HASL,T/O,Sp,Tone,Notes,Note2,Offset,absoff,sign,tsign,tdup,trpt,longditude,latitude,maidenhead,distsyd,dirsyd,dirkat,distmel,disttmb,txpower,bank,TS
2-FM,VK2RGA 2,FM,2,146.8250,146.2250,VK2RGA,Galore,Mt Galore,Lockhart,O,25,387,3,2WG,91.5,25,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",146.790662,-35.108227,QF34jv44va,428372,250.0,243.5,341723.1,998948.7,5,,
2-FM,VK2RGF 2,FM,2,146.8500,146.2500,VK2RGF,SqrNob,Mt Square Knob,Leeton - Griffith,O,25,386,3,2WG,91.5,25,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",146.610155,-34.551752,QF35hk37fn,430397,258.6,253.8,390879.1,962113.7,5,,
2-FM,VK2RGL 2,FM,2,147.1000,147.7000,VK2RGL,CbTree,Cabbage Tree Mtn,Forster - Tuncurry,O,30,650,5,2GLR,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",152.120465,-32.257395,QF67br48kf,197896,25.8,46.8,897087.4,494708.4,5,,
2-FM,VK2RGL 2,FM,2,147.2000,147.8000,VK2RGL,CbTree,Cabbage Tree Mtn,Forster - Tuncurry,O,30,650,5,2GLR,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",152.120465,-32.257395,QF67br48kf,197896,25.8,46.8,897087.4,494708.4,5,,
A-ATV,VK2RGL ATV,FM,ATV,426.250,444.250,VK2RGL,CbTree,Cabbage Tree Mtn,Forster-Tuncurry 6/15,P,50,685,-,2GLR,-,90,,18.000,18.000,"+",PLUS,DUP+,"+RPT",152.120465,-32.257395,QF67br48kf,197896,25.8,46.8,897087.4,494708.4,5,,
4-FM,VK2RGN 6,FM,6,53.7000,52.7000,VK2RGN,-,Signal Hill,Goulburn,O,-,-,-,2JQ,-,,,-1.000,1.000,"-",MINUS,DUP-,"-RPT",149.763092,-34.758567,QF45vf17nw,165662,233.0,203.3,547939.4,825590.5,5,,
2-FM,VK2RGN 2,FM,2,146.6250,146.0250,VK2RGN,MtGray,Mt Gray,Goulburn,O,20,-,3,2JQ,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",149.763092,-34.758567,QF45vf17nw,165662,233.0,203.3,547939.4,825590.5,5,,
3-FM,VK2RGN 7,FM,7,438.3250,433.3250,VK2RGN,MtGray,Mt Gray,Goulburn,O,10,-,3.5,2JQ,-,67,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",149.763092,-34.758567,QF45vf17nw,165662,233.0,203.3,547939.4,825590.5,5,,
3-FM,VK2RGN 7,FM,7,438.6250,433.6250,VK2RGN,-,Goulburn,Goulburn,O,-,-,-,2JQ,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",149.763092,-34.758567,QF45vf17nw,165662,233.0,203.3,547939.4,825590.5,5,,
3-FM,VK2RGN 7,FM,7,439.9500,434.9500,VK2RGN,MtGray,Mt Gray,Goulburn,O,20,-,3,2JQ,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",149.763092,-34.758567,QF45vf17nw,165662,233.0,203.3,547939.4,825590.5,5,,
2-FM,VK2RGR 2,FM,2,146.9250,146.3250,VK2RGR,NRyde,North Ryde,Sydney North,O,10,30,2.5,2TVG,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",151.126907,-33.798308,QF56ne58fj,10741,315.8,96.9,712608.0,682730.5,5,,
3-FM,VK2RGW 7,FM,7,439.4750,434.4750,VK2RGW,-,Glenwood,West Sydney 6/15,P,50,175,3,2AO,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.948529,-33.747825,QF56lg30tm,27442,298.9,93.3,703813.0,682208.6,5,,
3-FM,VK2RHC 7,FM,7,438.5500,433.5500,VK2RHC,-,Hurstville,Sydney,O,-,-,-,NME,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.09395,-33.96426,QF56na18gn,15006,224.5,110.8,698450.3,701259.8,5,,
3-FM,VK2RHK 7,FM,7,438.1250,433.1250,VK2RHK,-,Wyee,Lake Macquarie,O,-,-,-,2HK,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.493878,-33.182736,QF56rt96gd,80497,19.4,62.0,783469.5,607825.7,5,,
8-DMR,VK2RHK DMR,DV,DMR,439.8750,434.8750,VK2RHK,-,Wyee,Lake Macquarie,O,-,-,-,2HK,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.493878,-33.182736,QF56rt96gd,80497,19.4,62.0,783469.5,607825.7,5,,
7-P25,VK2RHP P25,DV,P25,438.1375,432.7375,VK2RHP,-,Horsley Park,Sydney (L),O,-,-,-,NME,-,,,-5.400,5.400,"-",MINUS,DUP-,"-RPT",150.854947,-33.861548,QF56kd23of,32651,271.1,107.6,688972.1,696882.4,5,,
3-FM,VK2RHP 7,FM,7,439.7500,434.7500,VK2RHP,-,Horsley Park,Sydney,O,-,-,-,NME,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.854947,-33.861548,QF56kd23of,32651,271.1,107.6,688972.1,696882.4,5,,
8-DMR,VK2RHP DMR,DV,DMR,439.7500,434.7500,VK2RHP,-,Horsley Park,Sydney,O,-,-,-,NME,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.854947,-33.861548,QF56kd23of,32651,271.1,107.6,688972.1,696882.4,5,,
2-FM,VK2RHR 2,FM,2,146.8250,146.2250,VK2RHR,HRange,High Range,Southern Highlands,O,50,862,3,2JQ,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",150.335746,-34.370997,QF55ep00gx,97912,235.0,177.9,615835.4,766093.9,5,,
3-FM,VK2RHR 7,FM,7,438.0250,433.0250,VK2RHR,HRange,High Range,Southern Highlands,O,75,827,2,2JQ,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.335746,-34.370997,QF55ep00gx,97912,235.0,177.9,615835.4,766093.9,5,,
3-FM,VK2RHT 7,FM,7,438.3500,432.9500,VK2RHT,Chats,Chatswood,Sydney,O,-,140,-,2MA,91.5,32,96,-5.400,5.400,"-",MINUS,DUP-,"-RPT",151.179197,-33.79773,QF56oe18mn,8208,341.2,96.5,716340.2,681332.7,5,,
7-P25,VK2RHT P25,DV,P25,438.3500,432.9500,VK2RHT,Chats,Chatswood,Sydney,O,-,140,-,2MA,91.5,32,96,-5.400,5.400,"-",MINUS,DUP-,"-RPT",151.179197,-33.79773,QF56oe18mn,8208,341.2,96.5,716340.2,681332.7,5,,
3-FM,VK2RIW 7,FM,7,438.3000,433.3000,VK2RIW,-,Kiama,Kiama WICEN,O,-,-,-,NWN,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.791389,-34.697608,QF55jh42xn,99712,202.5,157.8,626956.0,787153.9,5,,
2-FM,VK2RLE 2,FM,2,146.8000,146.2000,VK2RLE,HCote,Engadine,Sydney,O,60,110,5,2LE,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",151.036165,-34.040329,QF55mx40ih,24854,219.6,118.1,688974.8,710851.6,5,,
3-FM,VK2RLE 7,FM,7,438.4250,433.4250,VK2RLE,HCote,Engadine,Sydney,O,50,110,3,2LE,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.036165,-34.040329,QF55mx40ih,24854,219.6,118.1,688974.8,710851.6,5,,
7-P25,VK2RLE P25,DV,P25,438.4250,433.4250,VK2RLE,HCote,Engadine,Sydney,O,50,110,3,2LE,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.036165,-34.040329,QF55mx40ih,24854,219.6,118.1,688974.8,710851.6,5,,
8-DMR,VK2RLE DMR,DV,DMR,438.4250,433.4250,VK2RLE,-,Engadine,Sydney,O,-,-,-,3TE,-,107,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.036165,-34.040329,QF55mx40ih,24854,219.6,118.1,688974.8,710851.6,5,,
2-FM,VK2RLH 2,FM,2,146.6750,146.0750,VK2RLH,SBark,Stringybark Hill,Bathurst 6/17,X,25,-,-,2NX,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",149.359776,-33.554857,QF46qk36eu,174777,280.9,281.4,617274.9,722949.3,5,,
3-FM,VK2RLH 7,FM,7,439.8500,434.8500,VK2RLH,-,Newbridge,Bathurst 6/17,X,-,-,-,2NX,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",149.359776,-33.554857,QF46qk36eu,174777,280.9,281.4,617274.9,722949.3,5,,
2-FM,VK2RLJ 2,FM,2,146.8750,146.2750,VK2RLJ,Prishr,Back Perisher Mtn,Jindabyne,O,10,2010,3,2SNO,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",148.39187,-36.400004,QF43eo73ax,380464,221.6,209.9,342253.4,1043040.4,5,,
3-FM,VK2RLJ 7,FM,7,438.4500,433.4500,VK2RLJ,Prishr,Back Perisher Mtn,Jindabyne 6/17,P,10,2010,3,2SNO,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",148.39187,-36.400004,QF43eo73ax,380464,221.6,209.9,342253.4,1043040.4,5,,
1-10M,VK2RMB 10,FM,10,29.1200,29.1200,VK2RMB,THills,Terrey Hills,Sydney 6/15,P,-,150,-,2MB,-,1,,0.000,0.000,"+",PLUS,DUP+,"+RPT",151.222079,-33.692994,QF56oh63pq,19433,3.9,88.4,726905.6,669072.9,5,,
4-FM,VK2RMB 6,FM,6,53.6750,52.6750,VK2RMB,THills,Terrey Hills,Sydney 6/15,X,50,150,3,2MB,-,1,,-1.000,1.000,"-",MINUS,DUP-,"-RPT",151.222079,-33.692994,QF56oh63pq,19433,3.9,88.4,726905.6,669072.9,5,,
2-FM,VK2RMB 2,FM,2,146.8750,146.2750,VK2RMB,THills,Terrey Hills,Sydney,O,50,150,3,2MB,-,1,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",151.222079,-33.692994,QF56oh63pq,19433,3.9,88.4,726905.6,669072.9,5,,
3-FM,VK2RMB 7,FM,7,438.1750,433.1750,VK2RMB,THills,Terrey Hills,Sydney,O,5,150,3,2MB,91.5,1,82,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.222079,-33.692994,QF56oh63pq,19433,3.9,88.4,726905.6,669072.9,5,,
7-P25,VK2RMB P25,DV,P25,438.1750,433.1750,VK2RMB,THills,Terrey Hills,Sydney,O,5,150,3,2MB,91.5,1,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.222079,-33.692994,QF56oh63pq,19433,3.9,88.4,726905.6,669072.9,5,,
2-FM,VK2RMI 2,FM,2,146.6500,146.0500,VK2RMI,THiHi,Terry Hie Hie,Moree / Inverell,O,10,660,4,2AJ,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",150.279974,-29.805968,QG50de36on,458866,348.7,359.6,1014760.7,345931.9,5,,
2-FM,VK2RMM 2,FM,2,147.3750,147.9750,VK2RMM,McKen,Mt MacKenzie,Tenterfield - Granite Belt,O,40,1350,3,4BRC,123,33,,0.600,0.600,"+",PLUS,DUP+,"+RPT",151.966348,-29.086143,QG50xv59xh,535052,7.9,17.5,1165420.3,172185.4,5,,
2-FM,VK2RMO 2,FM,2,146.8500,146.2500,VK2RMO,Baldwn,Mt Baldwin,Tamworth,O,20,820,-,2BTW,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",150.959429,-31.045559,QF58lw59db,313840,355.7,11.9,930542.6,406714.5,5,,
4-FM,VK2RMP 6,FM,6,53.6500,52.6500,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,O,40,465,4,2AMW,123,2,,-1.000,1.000,"-",MINUS,DUP-,"-RPT",150.954594,-34.263384,QF55lr46ns,49714,208.0,135.5,667679.3,736711.0,5,,
2-FM,VK2RMP 2,FM,2,146.8500,146.2500,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,O,120,465,4,2AMW,-,21,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",150.954594,-34.263384,QF55lr46ns,49714,208.0,135.5,667679.3,736711.0,5,,
3-FM,VK2RMP 7,FM,7,438.7250,433.7250,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,O,50,465,4,2AMW,123,16,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.954594,-34.263384,QF55lr46ns,49714,208.0,135.5,667679.3,736711.0,5,,
9-C4FM,VK2RMP 4,DV,C4FM,438.7250,433.7250,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,O,50,465,4,2AMW,123,16,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.954594,-34.263384,QF55lr46ns,49714,208.0,135.5,667679.3,736711.0,5,,
3-FM,VK2RMR 7,FM,7,439.5750,434.5750,VK2RMR,-,Mt Riverview,Blue Mtns,O,20,360,9,2THE,123,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.630477,-33.730786,QF56hg54po,55572,285.7,92.7,683302.8,690047.5,5,,
2-FM,VK2RMS 2,FM,2,146.7250,146.1250,VK2RMS,-,Lightning Ridge,Lightning Ridge,O,50,-,-,2SMS,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",147.972399,-29.434695,QG30xn65qq,579377,327.2,334.4,970084.5,526761.0,5,,
2-FM,VK2RMU 2,FM,2,146.7000,146.1000,VK2RMU,NowraH,Nowra Hill,Milton - Ulladulla,O,50,330,4,2HQ,123,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",150.566994,-34.935597,QF55gb85ak,132292,206.3,170.0,595059.7,818409.7,5,,
3-FM,VK2RMU 7,FM,7,438.1250,433.1250,VK2RMU,NowraH,Nowra Hill,Milton - Ulladulla,O,50,330,3,2HQ,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.566994,-34.935597,QF55gb85ak,132292,206.3,170.0,595059.7,818409.7,5,,
2-FM,VK2RMW 2,FM,2,147.0750,147.6750,VK2RMW,Wandra,Mt Wandera,Batemans Bay,O,25,530,3,2BAY,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",150.005919,-35.794735,QF54ae09rg,240376,206.9,186.8,502102.1,924916.1,5,,
2-FM,VK2RMY 2,FM,2,146.8750,146.2750,VK2RMY,YarahP,Mt Yarrahapinni,Kempsey - Macksville,O,15,500,3,2EP,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",152.91949,-30.813912,QF69le04ip,375021,25.9,38.1,1066076.2,326571.0,5,,
3-FM,VK2RMY 7,FM,7,438.0750,433.0750,VK2RMY,YarahP,Mt Yarrahapinni,Kempsey - Macksville,O,50,500,3,2EP,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",152.91949,-30.813912,QF69le04ip,375021,25.9,38.1,1066076.2,326571.0,5,,
2-FM,VK2RNC 2,FM,2,146.9000,146.3000,VK2RNC,SgarL,Mt Sugarloaf,Lower Hunter,O,70,442,5,2AWX,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",151.538894,-32.890196,QF57sc46qi,112720,16.0,51.6,808878.9,575392.7,5,,
2-FM,VK2RNC 2,FM,2,146.9750,146.3750,VK2RNC,SgarL1,Mt Sugarloaf,Lower Hunter,O,70,442,10,2AWX,-,26,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",151.538894,-32.890196,QF57sc46qi,112720,16.0,51.6,808878.9,575392.7,5,,
3-FM,VK2RNC 7,FM,7,438.0250,433.0250,VK2RNC,SgarL,Mt Sugarloaf,Lower Hunter,O,25,442,5,2AWX,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.538894,-32.890196,QF57sc46qi,112720,16.0,51.6,808878.9,575392.7,5,,
3-FM,VK2RNC 7,FM,7,438.6750,433.6750,VK2RNC,SgarL1,Mt Sugarloaf,Lower Hunter,O,80,442,5,2AWX,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.538894,-32.890196,QF57sc46qi,112720,16.0,51.6,808878.9,575392.7,5,,
2-FM,VK2RNE 2,FM,2,146.9500,146.3500,VK2RNE,Rumbee,Mt Rumbee,Glen Innes,O,10,1503,4,2AJ,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",151.605269,-29.951869,QG50tb21pn,435842,5.1,16.7,1065744.7,270885.7,5,,
1-10M,VK2RNG 10,FM,10,29.1300,29.1300,VK2RNG,Werri,Werrington,Western Sydney,O,-,-,-,2THE,-,13,,0.000,0.000,"+",PLUS,DUP+,"+RPT",150.740681,-33.765599,QF56if86vg,44702,284.6,97.6,688178.1,690212.4,5,,
3-FM,VK2RNG 7,FM,7,439.8500,434.8500,VK2RNG,Werri,Werrington,Western Sydney,O,-,-,-,2THE,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.740681,-33.765599,QF56if86vg,44702,284.6,97.6,688178.1,690212.4,5,,
2-FM,VK2RNS 2,FM,2,147.2500,147.8500,VK2RNS,Asqith,Asquith,Sydney,O,50,225,3.5,2MA,-,32,,0.600,0.600,"+",PLUS,DUP+,"+RPT",151.100677,-33.689879,QF56nh24bk,22085,333.3,87.8,718639.7,671887.0,5,,
3-FM,VK2RNS 7,FM,7,439.9750,434.9750,VK2RNS,Asqith,Hornsby,Northern Sydney 11/15,P,50,225,3.5,2MA,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.100677,-33.689879,QF56nh24bk,22085,333.3,87.8,718639.7,671887.0,5,,
4-FM,VK2RNW 6,FM,6,53.6000,52.6000,VK2RNW,Kaput,Mt Kaputar,Narrabri 6/15,X,-,1550,-,2AJ,-,,,-1.000,1.000,"-",MINUS,DUP-,"-RPT",150.152139,-30.278821,QF59br83gb,410256,345.7,357.8,962677.1,389178.6,5,,
2-FM,VK2RNW 2,FM,2,146.6250,146.0250,VK2RNW,Kaput,Mt Kaputar,Narrabri - NW NSW 6/15,P,50,1550,3,2AJ,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",150.152139,-30.278821,QF59br83gb,410256,345.7,357.8,962677.1,389178.6,5,,
3-FM,VK2RNW 7,FM,7,438.5750,433.5750,VK2RNW,Kaput,Mt Kaputar,Narrabri - NW NSW,O,50,1550,3,2AJ,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.152139,-30.278821,QF59br83gb,410256,345.7,357.8,962677.1,389178.6,5,,
3-FM,VK2ROJ 7,FM,7,439.7000,434.7000,VK2ROJ,-,Bolwarra Heights,Lower Hunter,O,-,-,-,2AOJ,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.595172,-32.699925,QF57th12ka,134461,15.7,47.1,827473.6,553647.0,5,,
3-FM,VK2RON 7,FM,7,439.9250,434.9250,VK2RON,-,Artarmon,Sydney metro,O,15,200,1,2GO,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.181412,-33.805346,QF56oe16sr,7342,340.6,97.0,715951.5,682089.7,5,,
2-FM,VK2ROT 2,FM,2,147.0250,147.6250,VK2ROT,Paddo,Paddington,Sydney,O,20,40,3,2BV,91.5,23,,0.600,0.600,"+",PLUS,DUP+,"+RPT",151.229112,-33.886561,QF56oc77lf,2871,136.5,102.6,713577.4,689592.7,5,,
3-FM,VK2ROT 7,FM,7,438.5750,433.5750,VK2ROT,Paddo,Paddington,Sydney,O,50,90,3,2BV,91.5,23,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.229112,-33.886561,QF56oc77lf,2871,136.5,102.6,713577.4,689592.7,5,,
7-P25,VK2ROT P25,DV,P25,438.5750,433.5750,VK2ROT,Paddo,Paddington,Sydney,O,50,90,3,2BV,91.5,23,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.229112,-33.886561,QF56oc77lf,2871,136.5,102.6,713577.4,689592.7,5,,
6-DV,VK2ROZ A,DV,DST,1273.7000,1293.7000,VK2ROZ A,-,Lilyfield SCA,Rozelle 2/16,P,25,50,3,2BV,-,,,20.000,20.000,"+",PLUS,DUP+,"+RPT",151.162775,-33.866126,QF56nd92md,4164,272.5,101.9,710296.2,689046.5,5,,
3-FM,VK2RPL 7,FM,7,438.6750,433.6750,VK2RPL,Nardi,Mt Nardi,Lismore,O,50,850,3,2SRC,123,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",153.290154,-28.542669,QG61pk49ts,622825,19.1,27.2,1286931.7,77844.0,5,,
7-P25,VK2RPL P25,DV,P25,438.6750,433.6750,VK2RPL,Nardi,Mt Nardi,Lismore,O,50,850,3,2SRC,123,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",153.290154,-28.542669,QG61pk49ts,622825,19.1,27.2,1286931.7,77844.0,5,,
5-FM,VK2RPL 23,FM,23,1273.3000,1293.3000,VK2RPL,Nardi,Mt Nardi,Lismore 3/17,T,10,850,3,2SRC,-,,,20.000,20.000,"+",PLUS,DUP+,"+RPT",153.290154,-28.542669,QG61pk49ts,622825,19.1,27.2,1286931.7,77844.0,5,,
2-FM,VK2RPM 2,FM,2,146.7000,146.1000,VK2RPM,MdlBro,Middle Brother,Port Macquarie,O,50,552,3.5,2BOR,91.5,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",152.678285,-31.701304,QF68ih11jq,276947,30.2,45.5,978040.1,426278.4,5,,
3-FM,VK2RPM 7,FM,7,438.5250,433.5250,VK2RPM,MdlBro,Middle Brother,Port Macquarie,O,10,552,3,2BOR,123,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",152.678285,-31.701304,QF68ih11jq,276947,30.2,45.5,978040.1,426278.4,5,,
4-FM,VK2RPW 6,FM,6,53.5750,52.5750,VK2RPW,-,Grundy Mtn,Walcha,O,50,1463,3,NWR,-,,,-1.000,1.000,"-",MINUS,DUP-,"-RPT",151.655979,-31.326537,QF58tq81rp,284941,8.6,25.9,945124.6,406560.9,5,,
2-FM,VK2RPW 2,FM,2,146.9250,146.3250,VK2RPW,-,Grundy Mtn,Walcha,O,50,1463,3,NWR,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",151.655979,-31.326537,QF58tq81rp,284941,8.6,25.9,945124.6,406560.9,5,,
3-FM,VK2RPW 7,FM,7,438.2250,433.2250,VK2RPW,-,Grundy Mtn,Walcha,O,50,1463,3,NWR,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.655979,-31.326537,QF58tq81rp,284941,8.6,25.9,945124.6,406560.9,5,,
5-FM,VK2RPW 23,FM,23,1273.2000,1293.2000,VK2RPW,-,Grundy Mtn,Walcha,O,30,1463,3,NWR,-,,,20.000,20.000,"+",PLUS,DUP+,"+RPT",151.655979,-31.326537,QF58tq81rp,284941,8.6,25.9,945124.6,406560.9,5,,
2-FM,VK2RRR 2,FM,2,147.2750,147.8750,VK2RRR,Razor,Razorback Range,SW Sydney,O,-,-,-,2VVV,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",150.664926,-34.138944,QF55hu96sp,58473,238.9,144.8,655607.8,731635.4,5,,
3-FM,VK2RRR 7,FM,7,439.6000,434.6000,VK2RRR,Razor,Razorback,SW Sydney,O,-,-,-,2VVV,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.664926,-34.138944,QF55hu96sp,58473,238.9,144.8,655607.8,731635.4,5,,
7-P25,VK2RRR P25,DV,P25,439.6000,434.6000,VK2RRR,Razor,Razorback,SW Sydney,O,-,-,-,2VVV,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.664926,-34.138944,QF55hu96sp,58473,238.9,144.8,655607.8,731635.4,5,,
3-FM,VK2RRS 7,FM,7,438.4750,433.4750,VK2RRS,-,Lewisham,Sydney North 6/15,X,100,65,5,2TVG,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.145352,-33.894531,QF56nc75kh,6488,242.8,104.4,707041.6,692517.0,5,,
2-FM,VK2RRT 2,FM,2,146.9000,146.3000,VK2RRT,Boona,Boona Mtn,Condobolin,O,25,441,5,2UBQ,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",147.144526,-32.656487,QF37ni72ik,401685,288.4,290.9,605410.8,777960.2,5,,
8-DMR,VK2RRW DMR,DV,DMR,438.1000,433.1000,VK2RRW,-,Dural,Sydney North WICEN,O,50,-,5,2MCA,-,107,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.028778,-33.712825,QF56mg38kw,23877,316.0,89.7,711955.3,676268.2,5,,
4-FM,VK2RSC 6,FM,6,53.5500,52.5500,VK2RSC,Lismor,Parrots Nest,Lismore,O,20,185,3,2SRC,-,,,-1.000,1.000,"-",MINUS,DUP-,"-RPT",153.228511,-28.857063,QG61od74kh,587852,19.6,28.1,1254981.9,110592.2,5,,
2-FM,VK2RSC 2,FM,2,146.8000,146.2000,VK2RSC,Lismor,Parrots Nest,Lismore,O,15,185,3,2SRC,123,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",153.228511,-28.857063,QG61od74kh,587852,19.6,28.1,1254981.9,110592.2,5,,
9-C4FM,VK2RSC 4,DV,C4FM,146.8000,146.2000,VK2RSC,Lismor,Parrots Nest,Lismore,O,15,185,3,2SRC,123,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",153.228511,-28.857063,QG61od74kh,587852,19.6,28.1,1254981.9,110592.2,5,,
3-FM,VK2RSC 7,FM,7,439.9500,434.9500,VK2RSC,Lismor,Parrots Nest,Lismore,O,30,185,3,2SRC,123,66,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",153.228511,-28.857063,QG61od74kh,587852,19.6,28.1,1254981.9,110592.2,5,,
2-FM,VK2RSH 2,FM,2,147.1000,147.7000,VK2RSH,SHigh,Southern Highlands,Southern Highlands,O,-,-,-,2JQ,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",150.517692,-34.408146,QF55go22cb,87426,226.5,165.8,626173.6,764285.2,5,,
3-FM,VK2RSH 7,FM,7,439.3750,434.3750,VK2RSH,-,Alpine,Mittagong,O,-,-,-,2JQ,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.517692,-34.408146,QF55go22cb,87426,226.5,165.8,626173.6,764285.2,5,,
2-FM,VK2RSM 2,FM,2,147.0250,147.6250,VK2RSM,Digits,Digits,Adaminaby,O,50,1350,3.5,2SNO,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",148.684447,-35.985986,QF44ia23di,329175,223.7,210.1,388252.6,990209.3,5,,
4-FM,VK2RSN 6,FM,6,53.6250,52.6250,VK2RSN,-,Mt Sugarloaf,Newcastle,O,-,442,-,2FA,-,,,-1.000,1.000,"-",MINUS,DUP-,"-RPT",151.515857,-32.944671,QF57sb13vg,106321,15.7,53.0,803121.7,581787.4,5,,
2-FM,VK2RSR 2,FM,2,147.1250,147.7250,VK2RSR,Scadns,Scaddens Ridge,Wyong WICEN,O,20,-,-,NWN,-,27,,0.600,0.600,"+",PLUS,DUP+,"+RPT",151.366914,-33.294542,QF56qq49ah,65276,13.1,64.8,766362.9,622887.0,5,,
2-FM,VK2RST 2,FM,2,147.2250,147.8250,VK2RST,Lewshm,Lewisham,Sydney SSTV 6/15,X,25,60,5,2TVG,-,30,,0.600,0.600,"+",PLUS,DUP+,"+RPT",151.145352,-33.894531,QF56nc75kh,6488,242.8,104.4,707041.6,692517.0,5,,
3-FM,VK2RSV 7,FM,7,439.3250,434.3250,VK2RSV,-,Sans Souci,Sydney South EchoLink,O,25,25,-,2CL,91.5,64,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.130597,-34.005138,QF55nx58qs,16821,205.1,112.9,698205.9,704695.1,5,,
