0Sort,Call U,mode,band,Output,Input,Call,mNemonic,Location,Service Area,S,ERP,HASL,T/O,Sp,Tone,Notes,Note2,Offset,absoff,sign,tsign,tdup,trpt,longditude,latitude,maidenhead,distsyd,dirsyd,dirkat,distmel,disttmb,txpower,bank,TS
3-FM,VK2RAG 7,FM,7,438.0750,433.0750,VK2RAG,Someb,Somersby,Gosford - Wyong IRLP,O,50,320,3,2EH,91.5,31,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
8-DMR,VK2RAG DMR,DV,DMR,438.9250,431.9250,VK2RAG,Someb,Somersby,Gosford - Wyong IRLP,O,50,320,3,2EH,-,,,-7.000,7.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
3-FM,VK2RAG 7,FM,7,439.5250,434.5250,VK2RAG,Someb1,Somersby,Gosford - Wyong WICEN,O,50,320,3,2EH,91.5,31,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
3-FM,VK2RAG 7,FM,7,439.7250,434.7250,VK2RAG,Someb2,Somersby,Gosford - Wyong,O,25,320,3,2EH,91.5,71,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
3-FM,VK2RAG 7,FM,7,439.9500,434.9500,VK2RAG,Someb3,Somersby,Central Coast,O,-,313,3,2EH,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
7-P25,VK2RAG P25,DV,P25,439.9500,434.9500,VK2RAG,Someb,Somersby,Central Coast,O,-,300,3,2EH,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
5-FM,VK2RAG 23,FM,23,1273.4000,1293.4000,VK2RAG,Someb,Somersby,Gosford - Wyong,O,-,320,-,2EH,-,,,20.000,20.000,"+",PLUS,DUP+,"+RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
6-DV,VK2RAG A,DV,DST,1273.4000,1293.4000,VK2RAG A,Someb2,Somersby,Gosford 6/15,P,10,320,4,2EH,-,,,20.000,20.000,"+",PLUS,DUP+,"+RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
6-DV,VK2RAG B,DV,DST,438.3250,432.9250,VK2RAG B,Someb1,Somersby,Gosford (G),O,25,320,4,2EH,-,96,,-5.400,5.400,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
6-DV,VK2RAG C,DV,DST,146.6375,146.0375,VK2RAG C,Someb,Somersby,Gosford (G),O,25,320,4,2EH,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
3-FM,VK2RAH 7,FM,7,439.8750,434.8750,VK2RAH,-,portable,Statewide WICEN,O,-,-,-,NWN,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",,,,,,,,,5,,
3-FM,VK2RAI 7,FM,7,439.2750,434.2750,VK2RAI,-,Booral,Booral/Stroud,O,-,-,-,2RA,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.971689,-32.505285,QF57xl68or,167063,25.5,49.6,867744.2,524410.3,5,,
2-FM,VK2RAO 2,FM,2,146.7000,146.1000,VK2RAO,Cbolas,Mt Canobolas,Orange,O,50,1417,3,2AOA,91.5,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",148.982967,-33.341852,QF46lp77ww,214558,285.2,288.4,615093.4,721550.9,5,,
3-FM,VK2RAO 7,FM,7,438.7250,433.7250,VK2RAO,Cbolas,Mt Canobolas,Orange area,O,50,1417,-,2AOA,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",148.982967,-33.341852,QF46lp77ww,214558,285.2,288.4,615093.4,721550.9,5,,
2-FM,VK2RAP 2,FM,2,147.2750,147.8750,VK2RAP,AcacPl,Acacia Plateau,Warwick - Stanthorpe,O,40,950,3,4BRC,-,33,,0.600,0.600,"+",PLUS,DUP+,"+RPT",152.347415,-28.39188,QG61eo15qw,616764,10.4,18.8,1250443.2,90862.6,5,,
2-FM,VK2RAV 2,FM,2,147.1250,147.7250,VK2RAV,-,portable,Statewide WICEN,O,10,-,3,NWN,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",,,,,,,,,5,,
2-FM,VK2RAV 2,FM,2,147.1500,147.7500,VK2RAV,-,portable,Statewide WICEN,O,10,-,3,NWN,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",,,,,,,,,5,,
2-FM,VK2RAV 2,FM,2,147.1750,147.7750,VK2RAV,-,portable,Statewide WICEN,O,10,-,3,NWN,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",,,,,,,,,5,,
3-FM,VK2RAV 7,FM,7,439.5250,434.5250,VK2RAV,-,portable,Statewide WICEN,O,10,-,-,NWN,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",,,,,,,,,5,,
2-FM,VK2RAY 2,FM,2,147.2250,147.8250,VK2RAY,Albury,Hume Weir,Albury,O,-,-,-,2EWC,118.8,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",147.035272,-36.10083,QF33mv45ft,454359,235.8,227.6,264537.9,1075161.6,5,,
3-FM,VK2RAY 7,FM,7,438.5750,433.5750,VK2RAY,Albury,Hume Weir,Albury 6/15,P,-,-,-,2EWC,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",147.035272,-36.10083,QF33mv45ft,454359,235.8,227.6,264537.9,1075161.6,5,,
2-FM,VK2RBB 2,FM,2,146.6250,146.0250,VK2RBB,Byron,Goonengerry,Byron Bay,O,18,355,3,2SRC,123,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",153.435042,-28.602217,QG61rj25el,621126,20.6,28.6,1289692.9,89042.3,5,,
2-FM,VK2RBE 2,FM,2,146.7750,146.1750,VK2RBE,Bethun,Mt Bethungra,Cootamundra - Young,O,25,892,3,2WG,91.5,25,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",147.877424,-34.720724,QF35wg57ga,320851,251.9,242.9,431315.1,905437.5,5,,
1-10M,VK2RBH 10,FM,10,29.1200,29.1200,VK2RBH,Darlng,Mt Darling,Broken Hill,O,-,400,-,2DPG,-,12,,0.000,0.000,"+",PLUS,DUP+,"+RPT",141.533162,-32.022963,QF07sx34xl,927126,280.1,280.5,714916.5,1203437.8,5,,
2-FM,VK2RBH 2,FM,2,147.0000,146.4000,VK2RBH,Darlng,Mt Darling,Broken Hill,O,15,400,3,2DPG,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",141.533162,-32.022963,QF07sx34xl,927126,280.1,280.5,714916.5,1203437.8,5,,
2-FM,VK2RBK 2,FM,2,146.7750,146.1750,VK2RBK,NomTop,Noumea Tops,Bingara/Barraba 6/17,X,25,720,-,2DK,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",150.52417,-30.056695,QF59gw26vj,427506,351.1,2.9,1001535.8,346197.5,5,,
3-FM,VK2RBK 7,FM,7,439.9000,434.9000,VK2RBK,NomTop,Noumea Tops,Bingara/Barraba 6/17,X,25,720,-,2DK,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.52417,-30.056695,QF59gw26vj,427506,351.1,2.9,1001535.8,346197.5,5,,
2-FM,VK2RBL 2,FM,2,146.7250,146.1250,VK2RBL,Balran,Balranald,Balranald 6/15,X,50,-,-,3RSG,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",143.562333,-34.635541,QF15si77ll,709182,261.0,258.8,374663.0,1174190.9,5,,
1-10M,VK2RBM 10,FM,10,29.6700,29.5700,VK2RBM,Lawsn1,Lawson,Blue Mtns,O,-,900,3,2HZ,-,,,-0.100,0.100,"-",MINUS,DUP-,"-RPT",150.431585,-33.719433,QF56fg17si,73736,282.7,90.7,670835.1,695513.2,5,,
4-FM,VK2RBM 6,FM,6,53.8750,52.8750,VK2RBM,Lawsn1,Lawson,Blue Mtns,O,-,900,3,2HZ,123,,,-1.000,1.000,"-",MINUS,DUP-,"-RPT",150.431585,-33.719433,QF56fg17si,73736,282.7,90.7,670835.1,695513.2,5,,
2-FM,VK2RBM 2,FM,2,147.0500,147.6500,VK2RBM,Lawsn1,Lawson,Blue Mtns,O,20,900,3.5,2HZ,123,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",150.431585,-33.719433,QF56fg17si,73736,282.7,90.7,670835.1,695513.2,5,,
3-FM,VK2RBM 7,FM,7,438.3750,433.3750,VK2RBM,Lawsn1,Lawson,Blue Mtns,O,25,700,4,2HZ,123,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.431585,-33.719433,QF56fg17si,73736,282.7,90.7,670835.1,695513.2,5,,
2-FM,VK2RBO 2,FM,2,147.3500,147.9500,VK2RBO,Coorb,Cooranbong,Newcastle 6/15,P,-,-,-,2DBO,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",151.460511,-33.088847,QF56rv58gq,89532,15.3,57.3,788321.3,598574.1,5,,
2-FM,VK2RBR 2,FM,2,146.7750,146.1750,VK2RBR,Tabulm,Tabulam,Far North Coast 6/15,X,10,600,3,2SRC,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",152.427095,-28.754019,QG61ff19ga,578733,11.9,20.7,1220559.5,116008.4,5,,
3-FM,VK2RBV 7,FM,7,438.1125,432.7125,VK2RBV,-,Sydney,Sydney,O,25,200,3,2BV,91.5,,,-5.400,5.400,"-",MINUS,DUP-,"-RPT",151.211542,-33.864292,QF56od52jn,524,42.2,101.2,713896.0,687638.7,5,,
9-C4FM,VK2RBV 4,DV,C4FM,438.1125,432.7125,VK2RBV,-,Sydney,Sydney,O,25,200,3,2BV,91.5,,,-5.400,5.400,"-",MINUS,DUP-,"-RPT",151.211542,-33.864292,QF56od52jn,524,42.2,101.2,713896.0,687638.7,5,,
6-DV,VK2RBV B,DV,DST,438.7750,433.7750,VK2RBV B,-,Sydney,Sydney,O,50,200,3,2BV,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.211542,-33.864292,QF56od52jn,524,42.2,101.2,713896.0,687638.7,5,,
4-FM,VK2RCB 6,FM,6,53.7500,52.7500,VK2RCB,-,Francis L/O Dorrigo,Bellingen 7/17,P,50,850,3,2EP,-,,,-1.000,1.000,"-",MINUS,DUP-,"-RPT",152.688203,-30.396516,QF69io24ou,409475,20.3,32.0,1087317.5,282347.5,5,,
2-FM,VK2RCB 2,FM,2,146.7500,146.1500,VK2RCB,FranLO,Francis Lookout,Bellingen,O,50,850,3,2EP,123,24,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",152.688203,-30.396516,QF69io24ou,409475,20.3,32.0,1087317.5,282347.5,5,,
2-FM,VK2RCC 2,FM,2,146.8000,146.2000,VK2RCC,NeedlMn,Needle Mtn,Coonabarabran,O,80,1100,3.5,2UBQ,-,29,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",149.026186,-31.346311,QF48mp36dv,346562,323.2,335.1,808033.2,548722.5,5,,
2-FM,VK2RCD 2,FM,2,146.7250,146.1250,VK2RCD,BurroH,Burroway Hill,Dubbo area,O,50,300,-,2UBQ,-,29,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",148.556712,-32.154911,QF47gu62tt,312147,306.8,316.2,707946.3,643601.8,5,,
3-FM,VK2RCF 7,FM,7,438.4500,433.4500,VK2RCF,-,Carlingford,Sydney,O,-,-,-,NME,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.052787,-33.775653,QF56mf63iu,17612,305.4,95.5,709040.7,682277.6,5,,
7-P25,VK2RCF P25,DV,P25,438.4500,433.4500,VK2RCF,-,Carlingford,Sydney,O,-,-,-,NME,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.052787,-33.775653,QF56mf63iu,17612,305.4,95.5,709040.7,682277.6,5,,
7-P25,VK2RCG P25,DV,P25,438.2000,432.8000,VK2RCG,-,Sydney,Sydney City,O,-,-,-,NME,-,,,-5.400,5.400,"-",MINUS,DUP-,"-RPT",151.211542,-33.864292,QF56od52jn,524,42.2,101.2,713896.0,687638.7,5,,
8-DMR,VK2RCG DMR,DV,DMR,439.5000,434.5000,VK2RCG,-,Sydney,Sydney City,O,50,-,5,3TE,-,107,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.211542,-33.864292,QF56od52jn,524,42.2,101.2,713896.0,687638.7,5,,
3-FM,VK2RCG 7,FM,7,439.8000,434.8000,VK2RCG,-,Sydney,Sydney City,O,-,-,-,NME,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.211542,-33.864292,QF56od52jn,524,42.2,101.2,713896.0,687638.7,5,,
2-FM,VK2RCH 2,FM,2,146.8500,146.2500,VK2RCH,Bruxnr,Mt Coramba,Coffs Harbour,O,50,600,3,2EP,123,24,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",153.053358,-30.219255,QF69ms67jj,440507,23.8,34.5,1124709.6,260358.6,5,,
2-FM,VK2RCN 2,FM,2,147.0000,146.4000,VK2RCN,TelePt,Telegraph Point,Port Macquarie,O,50,136,3,2BOR,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",152.774113,-31.303962,QF68jq27vb,320090,27.8,41.6,1016348.2,381626.7,5,,
3-FM,VK2RCN 7,FM,7,438.4250,433.4250,VK2RCN,TelePt,Telegraph Point,Port Macquarie,O,25,138,3,2BOR,123,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",152.774113,-31.303962,QF68jq27vb,320090,27.8,41.6,1016348.2,381626.7,5,,
2-FM,VK2RCV 2,FM,2,146.6750,146.0750,VK2RCV,Graft,Grafton,Clarence Valley,O,30,264,3.5,2YLO,123,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",153.15733,-29.634646,QG60ni87vq,504387,22.0,31.6,1181666.3,195779.3,5,,
2-FM,VK2RCW 2,FM,2,147.2000,147.8000,VK2RCW,Lindsy,Mt Lindsay,Orange,O,87,950,3,2ACW,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",149.123207,-33.27946,QF46nr42sw,204235,288.1,293.5,628295.3,708566.1,5,,
3-FM,VK2RCW 7,FM,7,439.3000,434.3000,VK2RCW,Lindsy,Mt Lindsay,Orange,O,50,950,3,2ACW,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",149.123207,-33.27946,QF46nr42sw,204235,288.1,293.5,628295.3,708566.1,5,,
1-10M,VK2RCZ 10,FM,10,29.6300,29.5300,VK2RCZ,-,Lalor Park,Sydney West 8/15,P,-,-,3,2CRZ,-,,,-0.100,0.100,"-",MINUS,DUP-,"-RPT",150.833553,-33.747338,QF56kg00ap,37133,291.0,93.9,695910.2,685491.9,5,,
2-FM,VK2RCZ 2,FM,2,147.0750,147.6750,VK2RCZ,Lalor,Lalor Park,Sydney West,O,20,150,3,2CRZ,123,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",150.833553,-33.747338,QF56kg00ap,37133,291.0,93.9,695910.2,685491.9,5,,
