Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
47,VK2RGR 2 NRyde,146.9250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RGR 2 NRyde,,VK2RGR 2,
48,VK2RLE 2 HCote,146.8000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RLE 2 HCote,,VK2RLE 2,
49,VK2RMB 2 THills,146.8750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RMB 2 THills,,VK2RMB 2,
50,VK2RNS 2 Asqith,147.2500,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RNS 2 Asqith,,VK2RNS 2,
51,VK2RRR 2 Razor,147.2750,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RRR 2 Razor,,VK2RRR 2,
52,VK2RST 2 Lewshm,147.2250,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RST 2 Lewshm,,VK2RST 2,
53,VK2RWC 2 Chats1,147.1500,+,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RWC 2 Chats1,,VK2RWC 2,
54,VK2RWS 2 portable,147.1750,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RWS 2 portable,,VK2RWS 2,
55,VK2RAG 7 Someb,438.0750,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAG 7 Someb,,VK2RAG 7,
56,VK2RAGA7 Someb1,439.5250,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAGA7 Someb1,,VK2RAGA7,
57,VK2RAGB7 Someb2,439.7250,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAGB7 Someb2,,VK2RAGB7,
58,VK2RAGC7 Someb3,439.9500,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAGC7 Someb3,,VK2RAGC7,
59,VK2RCZ 7 Lalor,439.4250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RCZ 7 Lalor,,VK2RCZ 7,
60,VK2RDC 7 Woy Woy,438.6500,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RDC 7 Woy Woy,,VK2RDC 7,
61,VK2RFG 7 GHills,438.6500,-,7.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RFG 7 GHills,,VK2RFG 7,
62,VK2RGW 7 Glenwood,439.4750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RGW 7 Glenwood,,VK2RGW 7,
63,VK2RHC 7 Hurstville,438.5500,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RHC 7 Hurstville,,VK2RHC 7,
64,VK2RHP 7 Horsley Park,439.7500,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RHP 7 Horsley Park,,VK2RHP 7,
65,VK2RHT 7 Chats,438.3500,-,5.400,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RHT 7 Chats,,VK2RHT 7,
66,VK2RLE 7 HCote,438.4250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RLE 7 HCote,,VK2RLE 7,
67,VK2RMB 7 THills,438.1750,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RMB 7 THills,,VK2RMB 7,
68,VK2RMR 7 Mt Riverview,439.5750,-,5.000,TSQL,123,123,023,NN,FM,5.00,S,VK2RMR 7 Mt Riverview,,VK2RMR 7,
69,VK2RNG 7 Werri,439.8500,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RNG 7 Werri,,VK2RNG 7,
70,VK2RNS 7 Asqith,439.9750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RNS 7 Asqith,,VK2RNS 7,
71,VK2RON 7 Artarmon,439.9250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RON 7 Artarmon,,VK2RON 7,
72,VK2RRR 7 Razor,439.6000,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RRR 7 Razor,,VK2RRR 7,
73,VK2RRS 7 Lewisham,438.4750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RRS 7 Lewisham,,VK2RRS 7,
74,VK2RSV 7 Sans Souci,439.3250,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RSV 7 Sans Souci,,VK2RSV 7,
75,VK2RSW 7 Blaxland,439.7750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RSW 7 Blaxland,,VK2RSW 7,
76,VK2RTG 7 Kariong,439.3000,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RTG 7 Kariong,,VK2RTG 7,
77,VK2RWS 7 Berowra North,438.2750,-,5.400,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RWS 7 Berowra North,,VK2RWS 7,
78,VK1RJB 2 Jervis,146.9250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK1RJB 2 Jervis,,VK1RJB 2,
79,VK2RFS 2 Mumbla,146.7500,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RFS 2 Mumbla,,VK2RFS 2,
80,VK2RHR 2 HRange,146.8250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RHR 2 HRange,,VK2RHR 2,
81,VK2RMU 2 NowraH,146.7000,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RMU 2 NowraH,,VK2RMU 2,
82,VK2RMW 2 Wandra,147.0750,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RMW 2 Wandra,,VK2RMW 2,
83,VK2RSH 2 SHigh,147.1000,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RSH 2 SHigh,,VK2RSH 2,
84,VK2RUW 2 Nites1,146.6750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RUW 2 Nites1,,VK2RUW 2,
85,VK2RUWA2 Nites2,146.9750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RUWA2 Nites2,,VK2RUWA2,
86,VK2RWP 2 WolumP,146.8250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RWP 2 WolumP,,VK2RWP 2,
87,VK2RHR 7 HRange,438.0250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RHR 7 HRange,,VK2RHR 7,
88,VK2RIW 7 Kiama,438.3000,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RIW 7 Kiama,,VK2RIW 7,
89,VK2RMU 7 NowraH,438.1250,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RMU 7 NowraH,,VK2RMU 7,
90,VK2RSH 7 Alpine,439.3750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RSH 7 Alpine,,VK2RSH 7,
91,VK2RWP 7 WolumP,439.9000,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RWP 7 WolumP,,VK2RWP 7,
92,VK2RBB 2 Byron,146.6250,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RBB 2 Byron,,VK2RBB 2,
93,VK2RBO 2 Coorb,147.3500,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RBO 2 Coorb,,VK2RBO 2,
94,VK2RCB 2 FranLO,146.7500,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RCB 2 FranLO,,VK2RCB 2,
95,VK2RCH 2 Bruxnr,146.8500,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RCH 2 Bruxnr,,VK2RCH 2,
96,VK2RCN 2 TelePt,147.0000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RCN 2 TelePt,,VK2RCN 2,
97,VK2RCV 2 Graft,146.6750,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RCV 2 Graft,,VK2RCV 2,
98,VK2REE 2 Mt Ganghat,146.6750,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2REE 2 Mt Ganghat,,VK2REE 2,
99,VK2REH 2 Woodbn,147.2500,+,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2REH 2 Woodbn,,VK2REH 2,
100,VK2RGL 2 CbTree,147.1000,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RGL 2 CbTree,,VK2RGL 2,
101,VK2RGLA2 CbTree,147.2000,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RGLA2 CbTree,,VK2RGLA2,
102,VK2RMY 2 YarahP,146.8750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RMY 2 YarahP,,VK2RMY 2,
103,VK2RNC 2 SgarL,146.9000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RNC 2 SgarL,,VK2RNC 2,
104,VK2RNCA2 SgarL1,146.9750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RNCA2 SgarL1,,VK2RNCA2,
105,VK2RPM 2 MdlBro,146.7000,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RPM 2 MdlBro,,VK2RPM 2,
106,VK2RPW 2 Grundy Mtn,146.9250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RPW 2 Grundy Mtn,,VK2RPW 2,
107,VK2RSC 2 Lismor,146.8000,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RSC 2 Lismor,,VK2RSC 2,
108,VK2RSR 2 Scadns,147.1250,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RSR 2 Scadns,,VK2RSR 2,
109,VK2RTS 2 Lawsn2,147.3250,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RTS 2 Lawsn2,,VK2RTS 2,
110,VK2RTZ 2 SugarL,146.7750,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RTZ 2 SugarL,,VK2RTZ 2,
111,VK2RWH 2 Nwcsle,147.1500,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RWH 2 Nwcsle,,VK2RWH 2,
112,VK2RWK 2 KurraJ,147.1500,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RWK 2 KurraJ,,VK2RWK 2,
113,VK2RWR 2 Moona,147.0750,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RWR 2 Moona,,VK2RWR 2,
114,VK2RAI 7 Booral,439.2750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RAI 7 Booral,,VK2RAI 7,
115,VK2RCN 7 TelePt,438.4250,-,5.000,TSQL,123,123,023,NN,FM,5.00,S,VK2RCN 7 TelePt,,VK2RCN 7,
116,VK2REE 7 Mt Ganghat,438.3250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2REE 7 Mt Ganghat,,VK2REE 7,
117,VK2RHK 7 Wyee,438.1250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RHK 7 Wyee,,VK2RHK 7,
118,VK2RMY 7 YarahP,438.0750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RMY 7 YarahP,,VK2RMY 7,
119,VK2RNC 7 SgarL,438.0250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RNC 7 SgarL,,VK2RNC 7,
120,VK2RNCA7 SgarL1,438.6750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RNCA7 SgarL1,,VK2RNCA7,
121,VK2ROJ 7 Bolwarra Heights,439.7000,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2ROJ 7 Bolwarra Heights,,VK2ROJ 7,
122,VK2RPL 7 Nardi,438.6750,-,5.000,TSQL,123,123,023,NN,FM,5.00,S,VK2RPL 7 Nardi,,VK2RPL 7,
123,VK2RPM 7 MdlBro,438.5250,-,5.000,TSQL,123,123,023,NN,FM,5.00,S,VK2RPM 7 MdlBro,,VK2RPM 7,
124,VK2RPW 7 Grundy Mtn,438.2250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RPW 7 Grundy Mtn,,VK2RPW 7,
125,VK2RSC 7 Lismor,439.9500,-,5.000,TSQL,123,123,023,NN,FM,5.00,S,VK2RSC 7 Lismor,,VK2RSC 7,
126,VK2RUM 7 Merewether,438.6250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RUM 7 Merewether,,VK2RUM 7,
127,VK2RWH 7 Nwcsle,439.6250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RWH 7 Nwcsle,,VK2RWH 7,
128,VK2RWK 7 KurraJ,439.8250,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RWK 7 KurraJ,,VK2RWK 7,
129,VK1RWN C Isaacs Ridge,146.6625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK1RWN C Isaacs Ridge,CQCQCQ,VK1RWN C,VK1RWN G
130,VK1RAC 2 Tidbin,146.9000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK1RAC 2 Tidbin,,VK1RAC 2,
131,VK1RBH 2 BullsH,147.1750,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK1RBH 2 BullsH,,VK1RBH 2,
132,VK1RBM 2 Issacs,146.7250,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK1RBM 2 Issacs,,VK1RBM 2,
133,VK1RGI 2 Ginini,146.9500,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK1RGI 2 Ginini,,VK1RGI 2,
134,VK2RAD 2 SHill,146.7250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RAD 2 SHill,,VK2RAD 2,
135,VK2RAO 2 Cbolas,146.7000,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAO 2 Cbolas,,VK2RAO 2,
136,VK2RAP 2 AcacPl,147.2750,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RAP 2 AcacPl,,VK2RAP 2,
137,VK2RAY 2 Albury,147.2250,+,0.600,TSQL,118.8,118.8,023,NN,FM,5.00,S,VK2RAY 2 Albury,,VK2RAY 2,
138,VK2RBE 2 Bethun,146.7750,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RBE 2 Bethun,,VK2RBE 2,
139,VK2RBH 2 Darlng,147.0000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RBH 2 Darlng,,VK2RBH 2,
140,VK2RBK 2 NomTop,146.7750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RBK 2 NomTop,,VK2RBK 2,
141,VK2RBL 2 Balran,146.7250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RBL 2 Balran,,VK2RBL 2,
142,VK2RBR 2 Tabulm,146.7750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RBR 2 Tabulm,,VK2RBR 2,
143,VK2RCC 2 NeedlMn,146.8000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RCC 2 NeedlMn,,VK2RCC 2,
144,VK2RCD 2 BurroH,146.7250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RCD 2 BurroH,,VK2RCD 2,
145,VK2RCW 2 Lindsy,147.2000,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RCW 2 Lindsy,,VK2RCW 2,
146,VK2RDX 2 Bindo,146.6500,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RDX 2 Bindo,,VK2RDX 2,
147,VK2RGA 2 Galore,146.8250,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RGA 2 Galore,,VK2RGA 2,
148,VK2RGF 2 SqrNob,146.8500,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RGF 2 SqrNob,,VK2RGF 2,
149,VK2RGN 2 MtGray,146.6250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RGN 2 MtGray,,VK2RGN 2,
150,VK2RLH 2 SBark,146.6750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RLH 2 SBark,,VK2RLH 2,
151,VK2RLJ 2 Prishr,146.8750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RLJ 2 Prishr,,VK2RLJ 2,
152,VK2RMI 2 THiHi,146.6500,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RMI 2 THiHi,,VK2RMI 2,
153,VK2RMM 2 McKen,147.3750,+,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RMM 2 McKen,,VK2RMM 2,
154,VK2RMO 2 Baldwn,146.8500,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RMO 2 Baldwn,,VK2RMO 2,
155,VK2RMS 2 Lightning Ridge,146.7250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RMS 2 Lightning Ridge,,VK2RMS 2,
156,VK2RNE 2 Rumbee,146.9500,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RNE 2 Rumbee,,VK2RNE 2,
157,VK2RNW 2 Kaput,146.6250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RNW 2 Kaput,,VK2RNW 2,
158,VK2RRT 2 Boona,146.9000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RRT 2 Boona,,VK2RRT 2,
159,VK2RSM 2 Digits,147.0250,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RSM 2 Digits,,VK2RSM 2,
160,VK2RTD 2 Kendal,146.8000,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RTD 2 Kendal,,VK2RTD 2,
161,VK2RTM 2 Mt Crawney,146.7500,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RTM 2 Mt Crawney,,VK2RTM 2,
162,VK2RWB 2 GwynH,147.2000,+,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RWB 2 GwynH,,VK2RWB 2,
163,VK2RWG 2 WOF,146.7500,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RWG 2 WOF,,VK2RWG 2,
164,VK2RWM 2 Warrad,147.1000,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RWM 2 Warrad,,VK2RWM 2,
165,VK2RYL 2 BaldM,147.2250,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RYL 2 BaldM,,VK2RYL 2,
166,VK2RZL 2 Muswel,146.8750,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RZL 2 Muswel,,VK2RZL 2,
167,VK1RBM 7 Issacs,439.9500,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK1RBM 7 Issacs,,VK1RBM 7,
168,VK1RGI 7 Ginini,438.0500,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK1RGI 7 Ginini,,VK1RGI 7,
169,VK2RAB 7 MtCraw,438.4750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RAB 7 MtCraw,,VK2RAB 7,
170,VK2RAD 7 SHill,438.6500,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RAD 7 SHill,,VK2RAD 7,
171,VK2RAO 7 Cbolas,438.7250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RAO 7 Cbolas,,VK2RAO 7,
172,VK2RAY 7 Albury,438.5750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RAY 7 Albury,,VK2RAY 7,
173,VK2RBK 7 NomTop,439.9000,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RBK 7 NomTop,,VK2RBK 7,
174,VK2RCW 7 Lindsy,439.3000,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RCW 7 Lindsy,,VK2RCW 7,
175,VK2RDD 7 Burroway Hill,439.9500,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RDD 7 Burroway Hill,,VK2RDD 7,
176,VK2RGN 7 MtGray,438.3250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RGN 7 MtGray,,VK2RGN 7,
177,VK2RGNA7 Goulburn,438.6250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RGNA7 Goulburn,,VK2RGNA7,
