Output,Input,Call,mNemonic,Location,Service Area,S,ERP,HASL,T/O,Sp,Tone,Notes
147.6250,147.0250,VK4RLB,-,Woodridge,Brisbane South,O,25,60,4,4ARN,-,94
147.8000,147.2000,VK4RBG,-,The Hummock,Bundaberg,O,20,100,5,4BW,-,94
147.8000,147.2000,VK4RBT,-,Mt Tambourine,Gold Coast,O,100,1900,5,4WIF,-,94
147.9000,147.3000,VK4RKC,-,Oceanview,Brisbane North,O,100,530,5,4KI,-,9,94
147.9500,147.3500,VK4RBR,-,Mt Gravatt,Brisbane,O,110,80,-,4WIE,-,94
147.9250,147.3250,VK4RBA,-,Rochedale,Brisbane,O,-,-,-,4BA,123,
,,,,,,,,,,,,{{2M;FM;VK5}}
146.6250,146.0250,VK5RLZ,-,Elizabeth,Adelaide North,O,25,73,4,5LZ,-,
146.6500,146.0500,VK5RNC,Ncte,Naracoorte,Naracoorte,O,25,80,3,5RNC,-,51
146.6750,146.0750,VK5RSV,-,Willunga Hill,Adelaide South,O,50,320,10,5ARC,91.5,52
146.7000,146.1000,VK5RMN,-,The Bluff,Port Pirie,O,55,730,5,STX,-,83
146.7250,146.1250,VK5RBK,-,Mt Barker,Mt Barker,O,-,-,-,5YFR,-,
146.7500,146.1500,VK5RAC,-,Pillaworta Hill,Lower Eyre Peninsula,O,50,325,4.5,5ZEA,-,
146.7750,146.1750,VK5RAH,-,Lobethal,Adelaide Hills,O,50,-,8,5NRV,-,
146.8000,146.2000,VK5REP,-,Coolanie,Eyre Peninsula,O,60,500,4,WIA,-,
146.8000,146.2000,VK5RSE,MtGrah,Mt Graham,Millicent,O,25,230,3,5SR,-,81
146.8250,146.2250,VK5RBV,-,Mt Kitchener,Barossa Valley,O,50,580,3.5,5BRC,-,53
146.8500,146.2500,VK5RHO,-,Anstey Hill,Adelaide,O,30,410,3.5,5GRC,-,
146.8750,146.2750,VK5RMB,-,Mt Beevor,Murray Bridge,O,80,503,5,5NRV,-,
146.9000,146.3000,VK5RMG,MtgVHF,The Bluff,Mount Gambier,O,25,100,5,5SR,-,51
146.9250,146.3250,VK5RLH,-,Bumbunga Hill,Central North,O,50,413,3,5CZ,-,
146.9750,146.3750,VK5RAE,-,Mt Arden,Port Augusta,O,25,845,3,5AJ,-,
147.0000,146.4000,VK5RAD,-,Crafers,Adelaide,O,30,610,3.5,5BAR,-,
147.2000,147.8000,VK5RBP,-,portable,Statewide (Scouts) 6/15,P,50,-,3,5BP,-,
147.3000,147.9000,VK5RWI,-,portable,Statewide WICEN,O,-,-,-,SWN,-,
147.3250,147.9250,VK5RLD,-,Moorook,Riverland,O,25,86,5,5BRL,-,
147.3500,147.9500,VK5RBT,-,Willalooka,Bordertown - Keith,O,50,125,3,5SR,-,51
147.3750,147.9750,VK5RKN,Kingst,Mt Benson,Kingston,O,25,25,3,5SR,-,51
29.6200,147.6750,VK5RSC,-,Mt Terrible,Adelaide,O,40,410,3,5ARC,141.3,7
147.6750,29.6200,VK5RSC,-,Mt Terrible,Adelaide,O,40,410,3,5ARC,141.3,7
,,,,,,,,,,,,{{2M;FM;VK6}}
146.6250,146.0250,VK6RNC,PerNth,Landsdale,Perth North,O,50,100,4,6NC,-,
146.6250,146.0250,VK6RTP,TomPrc,Tom Price,Tom Price,O,50,1128,5,6DF,-,
146.6500,146.0500,VK6RBY,Bunbry,Harvey,Bunbury,O,25,20,5,6BRC,-,
146.6750,146.0750,VK6RNR,NthHmp,Northampton,Northampton,O,25,-,-,WGE,-,
146.7000,146.1000,VK6RAP,PerSE1,Roleystone,Perth South East,O,40,360,4,WRG,-,11
146.7000,146.1000,VK6RWR,WickHm,Wickham,North West,O,20,80,-,WNW,-,
146.7500,146.1500,VK6RLM,PerSE2,Roleystone,Perth South East,O,20,350,4,WRG,-,54
146.7750,146.1750,VK6ROO,Geldtn,Geraldton,Geraldton,O,50,-,-,WGE,-,
146.8000,146.2000,VK6RTH,PerNE,Tic Hill,Perth North East,O,60,230,4,WRG,-,19
146.8250,146.2250,VK6RAA,MtBark,Mt Barker,South Coast 6/15,X,25,450,5,6SR,-,
146.8500,146.2500,VK6REX,Exmoth,Exmouth,North West,O,20,385,3,WNW,-,
146.8750,146.2750,VK6RIC,-,portable,Statewide WICEN,O,-,-,-,WWN,-,
146.9000,146.3000,VK6RMW,MtWilm,Mt William,Mandurah,O,20,520,4,WRG,-,
146.9500,146.3500,VK6RFM,Freo,Bicton,Fremantle,O,10,65,3,WRG,-,
146.9750,146.3750,VK6RSH,-,portable,Statewide,O,10,-,5,6SH,-,
147.0000,146.4000,VK6RAW,Katnng,Fairfield,Katanning,O,25,400,5,WRG,-,54
147.0000,146.4000,VK6RAK,Kal,Kalgoorlie,Kalgoorlie,O,20,400,5,6RM,-,
147.0000,146.4000,VK6RGN,Grldtn,Geraldton,Geraldton,O,16,30,5,WGE,-,
147.0250,147.6250,VK6RPT,-,portable,Statewide,O,-,-,-,WRG,-,88
147.0750,147.6750,VK6ROT,Rotto,Rottnest Is,Perth Coast 6/15,X,50,55,5,6MHZ,-,19
147.1500,147.7500,VK6RMJ,Manji,Manjimup,Manjimup,O,25,150,5,6FN,-,
147.1750,147.7750,VK6REC,Avon C,Wooroloo,Avon Central,O,25,300,3,6PK,-,
147.2000,147.8000,VK6RCT,Cataby,Yandan Hill,Cataby,O,50,200,4,WRG,-,19
147.2500,147.8500,VK6RMS,MtSdbk,Mt Saddleback,Boddington,O,20,590,4,WRG,-,11,54
147.2750,147.8750,VK6RAV,-,Hoddy Well,Avon East,O,20,80,3,WRG,-,54
147.3250,147.9250,VK6RKN,Keller,Kellerberrin,Kellerberrin,O,25,-,5,WRG,-,54
147.3500,147.9500,VK6RBN,Busltn,Chapman Hill,Busselton,O,30,130,5,WRG,-,11
,,,,,,,,,,,,{{2M;FM;VK7}}
146.6250,146.0250,VK7RMD,-,Mt Duncan,NW Tasmania 3/17,X,30,600,5,7NW,-,
146.6500,146.0500,VK7RAF,-,Mt Faulkner,Hobart,O,50,900,3,7OB,123,60
146.7000,146.1000,VK7RAD,-,Queens Domain,Hobart,O,100,140,3,7OTC,141.3,61
146.7250,146.1250,VK7RVP,-,St Valentines Peak,NW Tasmania,O,40,1115,3,7DB,91.5,
146.7500,146.1500,VK7RNW,-,Ulverstone West,Central North Coast,O,30,160,5,7NW,-,
146.7750,146.1750,VK7RTV,-,Stowport,Central NW Coast,O,70,155,5,TNA,-,
146.8000,146.2000,VK7RAK,-,Gagebrook,NW Hobart,O,-,-,-,7HDM,-,
146.8500,146.2500,VK7RHT,-,Snug Tiers,Channel,O,100,370,40,7OTC,-,61
146.9000,146.3000,VK7REC,-,Snow Hill,East Coast 6/15,X,30,970,-,7TAZ,-,
147.0000,146.4000,VK7RAA,-,Mt Arthur,N Tasmania,O,100,1400,5,7TAZ,-,59
147.0750,147.6750,VK7RWC,-,Mt Read,West Coast,O,25,1200,3,7RWC,123,59
147.3000,147.3000,VK7RBI,-,Alonnah,SE Tasmania,O,-,-,3,7OTC,114.8,61
147.3750,147.9750,VK7RAC,-,Table Cape,NW Tasmania,O,40,150,3,7DC,-,
147.8750,146.0750,VK7RCR,-,Lenah Valley,Hobart 6/15,X,20,220,2,7ZCR,123,96
147.9750,147.3750,VK7RAD,-,Queens Domain,Hobart,O,100,140,40,7OTC,141.3,62
,,,,,,,,,,,,{{2M;FM;VK8}}
146.8000,146.2000,VK8RWI,-,Marrara,Darwin WICEN,O,100,77,4,8DA,123,
146.9000,146.3000,VK8RDA,-,Darwin,Darwin,O,50,86,4,8DA,123,
146.9500,146.3500,VK8RCA,ASpr2,West Gap,Alice Springs,O,25,776,3,8AR,91.5,
146.9500,146.3500,VK8RPD,-,Moil,Darwin N suburbs,O,50,72,4,8DA,123,
147.0000,146.4000,VK8RTE,-,Larrakeyah,Darwin City,O,50,59,4,8DA,123,
,,,,,,,,,,,,{{70CM;FM;VK2}}
438.0250,433.0250,VK2RHR,HRange,High Range,Southern Highlands,O,75,827,2,2JQ,-,
438.0250,433.0250,VK2RNC,SgarL,Mt Sugarloaf,Lower Hunter,O,25,442,5,2AWX,-,
438.0250,433.0250,VK2RTW,-,Willans Hill,Wagga 6/17,X,25,372,3,2WG,91.5,25
438.0500,433.0500,VK1RGI,Ginini,Mt Ginini,ACT - SE NSW,O,150,1770,3.5,1ACA,91.5,67
438.0750,433.0750,VK2RAG,Someb,Somersby,Gosford - Wyong IRLP,O,50,320,3,2EH,91.5,31
438.0750,433.0750,VK2RMY,YarahP,Mt Yarrahapinni,Kempsey - Macksville,O,50,500,3,2EP,-,
438.1000,433.1000,VK2RRW,-,North Ryde,Northern Sydney WICEN,O,-,-,-,NWN,-,
438.1125,432.7125,VK2RBV,-,Sydney,Sydney,O,25,200,3,2BV,91.5,
438.1250,433.1250,VK2RHK,-,Wyee,Lake Macquarie,O,-,-,-,2HK,-,
438.1250,433.1250,VK2RMU,NowraH,Nowra Hill,Milton - Ulladulla,O,50,330,3,2HQ,91.5,
438.1750,433.1750,VK2RMB,THills,Terrey Hills,Sydney,O,5,150,3,2MB,91.5,1,82
438.2250,433.2250,VK2RPW,-,Grundy Mtn,Walcha,O,50,1463,3,NWR,-,
438.2750,432.8750,VK2RWS,-,Berowra North,Sydney,O,-,-,-,NWN,91.5,80
438.3000,433.3000,VK2RIW,-,Kiama,Kiama WICEN,O,-,-,-,NWN,-,
438.3250,433.3250,VK2REE,-,Mt Ganghat,Taree-Gloucester,O,50,600,5.0,2FRE,-,106
438.3250,433.3250,VK2RGN,MtGray,Mt Gray,Goulburn,O,10,-,3.5,2JQ,-,67
438.3250,433.3250,VK2RWM,Warrad,Mt Warraderry,Grenfell,O,25,575,3,2XAQ,-,
438.3500,432.9500,VK2RHT,Chats,Chatswood,Sydney,O,-,140,-,2MA,91.5,32,96
438.3750,433.3750,VK2RBM,Lawsn1,Lawson,Blue Mtns,O,25,700,4,2HZ,123,
438.4250,433.4250,VK2RCN,TelePt,Telegraph Point,Port Macquarie,O,25,138,3,2BOR,123,
438.4250,433.4250,VK2RLE,HCote,Engadine,Sydney,O,50,110,3,2LE,-,
438.4500,433.4500,VK2RCF,-,Carlingford,Sydney,O,-,-,-,NME,91.5,
438.4500,433.4500,VK2RLJ,Prishr,Back Perisher Mtn,Jindabyne 6/17,P,10,2010,3,2SNO,-,
438.4750,433.4750,VK2RAB,MtCraw,Mt Crawney,Tamworth/Muswellbrook,O,50,1401,3,NWR,-,
438.4750,433.4750,VK2RRS,-,Lewisham,Sydney North 6/15,X,100,65,5,2TVG,-,
438.5250,433.5250,VK2RPM,MdlBro,Middle Brother,Port Macquarie,O,10,552,3,2BOR,123,
438.5250,433.5250,VK2RWI,Dural,Dural,Sydney,O,25,240,3.5,2WI,-,
438.5500,433.5500,VK2RHC,-,Hurstville,Sydney,O,-,-,-,NME,91.5,
438.5750,433.5750,VK2RAY,Albury,Hume Weir,Albury 6/15,P,-,-,-,2EWC,-,
438.5750,433.5750,VK2RNW,Kaput,Mt Kaputar,Narrabri - NW NSW,O,50,1550,3,2AJ,-,
438.5750,433.5750,VK2ROT,Paddo,Paddington,Sydney,O,50,90,3,2BV,91.5,23
438.6000,433.6000,VK2RWI,Dural1,Dural,Sydney 6/15,X,20,240,3,2WI,-,
438.6250,433.6250,VK2RUM,-,Merewether,Newcastle,O,5,50,3,2FA,-,
438.6250,433.6250,VK2RGN,-,Goulburn,Goulburn,O,-,-,-,2JQ,-,
438.6500,433.6500,VK2RAD,SHill,South Hill,Armidale,O,10,1140,3,2IY,-,
438.6500,431.6500,VK2RFG,GHills,Gregory Hills,Campbelltown,O,50,222,3,2FFG,91.5,
438.6500,433.6500,VK2RDC,-,Woy Woy,Woy Woy,O,-,-,-,2MDC,91.5,
438.6750,433.6750,VK2RNC,SgarL1,Mt Sugarloaf,Lower Hunter,O,80,442,5,2AWX,-,
438.6750,433.6750,VK2RPL,Nardi,Mt Nardi,Lismore,O,50,850,3,2SRC,123,
438.7250,433.7250,VK2RAO,Cbolas,Mt Canobolas,Orange area,O,50,1417,-,2AOA,-,
438.7250,433.7250,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,O,50,465,4,2AMW,123,16
439.2750,434.2750,VK2RAI,-,Booral,Booral/Stroud,O,-,-,-,2RA,-,
439.3000,434.3000,VK2RTG,-,Kariong,Gosford RTTY/SSTV 6/15,T,10,220,10,2EH,-,23
439.3000,434.3000,VK2RCW,Lindsy,Mt Lindsay,Orange,O,50,950,3,2ACW,-,
439.3250,434.3250,VK2RSV,-,Sans Souci,Sydney South EchoLink,O,25,25,-,2CL,91.5,64
439.3750,434.3750,VK2RSH,-,Alpine,Mittagong,O,-,-,-,2JQ,-,
439.4250,434.4250,VK2RCZ,Lalor,Lalor Park,West Sydney 6/15,P,20,150,3,2CRZ,-,
439.4750,434.4750,VK2RGW,-,Glenwood,West Sydney 6/15,P,50,175,3,2AO,-,
439.5250,434.5250,VK2RAG,Someb1,Somersby,Gosford - Wyong WICEN,O,50,320,3,2EH,91.5,31
439.5250,434.5250,VK2RAV,-,portable,Statewide WICEN,O,10,-,-,NWN,-,
439.5750,434.5750,VK2RMR,-,Mt Riverview,Blue Mtns,O,20,360,9,2THE,123,
439.6000,434.6000,VK2RRR,Razor,Razorback,SW Sydney,O,-,-,-,2VVV,91.5,
439.6250,434.6250,VK2RFI,-,portable,Hunter region WICEN,O,25,-,-,NWN,-,
439.6250,434.6250,VK2RWH,Nwcsle,Newcastle,Lower Hunter WICEN,O,-,-,-,NWN,-,
439.6500,434.6500,VK2RWB,GwynH,Gwynne Hill,Yarrawonga WICEN,O,80,250,5,NWN,123,19
439.7000,434.7000,VK2ROJ,-,Bolwarra Heights,Lower Hunter,O,-,-,-,2AOJ,91.5,
439.7250,434.7250,VK2RAG,Someb2,Somersby,Gosford - Wyong,O,25,320,3,2EH,91.5,71
439.7500,434.7500,VK2RHP,-,Horsley Park,Sydney,O,-,-,-,NME,-,
439.7750,434.7750,VK2RSW,-,Blaxland,Lower Blue Mtns,O,-,-,-,2NAB,-,
439.8000,434.8000,VK2RCG,-,Sydney,Sydney City,O,-,-,-,NME,91.5,
439.8000,434.8000,VK2RTW,-,Wagga Wagga,Wagga Wagga 6/17,X,-,-,-,2WG,91.5,
439.8250,434.8250,VK2RWK,KurraJ,Kurrajong,NW Sydney,O,-,-,-,NWN,91.5,80
439.8500,434.8500,VK2RLH,-,Newbridge,Bathurst 6/17,X,-,-,-,2NX,-,
439.8500,434.8500,VK2RNG,Werri,Werrington,Western Sydney,O,-,-,-,2THE,-,
439.8750,434.8750,VK2RAH,-,portable,Statewide WICEN,O,-,-,-,NWN,-,
439.9000,434.9000,VK2RBK,NomTop,Noumea Tops,Bingara/Barraba 6/17,X,25,720,-,2DK,-,
439.9000,434.9000,VK2RWI,Dural2,Dural,Sydney 6/15,P,25,240,-,2WI,-,
439.9000,434.9000,VK2RWP,WolumP,Wolumla Peak,Bega,O,-,-,-,2CRN,-,
439.9250,434.9250,VK1RWP,-,portable,VK1 WICEN,O,20,-,-,1ACA,-,
439.9250,434.9250,VK2RAF,-,portable,Statewide WICEN,O,10,-,-,NWN,-,
439.9250,434.9250,VK2RON,-,Artarmon,Sydney metro,O,15,200,1,2GO,-,
439.9500,434.9500,VK1RBM,Issacs,Isaacs Ridge,Canberra Central,O,25,790,3,1ACA,91.5,65
439.9500,434.9500,VK2RAG,Someb3,Somersby,Central Coast,O,-,313,3,2EH,91.5,
439.9500,434.9500,VK2RDD,-,Burroway Hill,Dubbo,O,25,300,-,2UBQ,-,
439.9500,434.9500,VK2RGN,MtGray,Mt Gray,Goulburn,O,20,-,3,2JQ,-,
439.9500,434.9500,VK2RSC,Lismor,Parrots Nest,Lismore,O,30,185,3,2SRC,123,66
439.9750,434.9750,VK1RWP,-,portable,VK1 WICEN,O,20,-,-,1ACA,-,
439.9750,434.9750,VK2RNS,Asqith,Hornsby,Northern Sydney 11/15,P,50,225,3.5,2MA,-,
,,,,,,,,,,,,{{70CM;FM;VK3}}
438.0250,433.0250,VK3RBO,-,Specimen Hill,Bendigo,O,50,335,-,3WI,-,
438.0250,433.0250,VK3RCC,-,Melbourne,Melbourne City,O,160,120,-,3BKR,91.5,76
438.0250,433.0250,VK3RCP,-,Ouyen,Ouyen,O,-,-,-,3WI,-,
438.0250,433.0250,VK3REG,MntCan,Mt Cann,East Gippsland 6/15,X,40,-,2.5,3EGC,-,36
438.0750,433.0750,VK3RDU,Major,Mt Major,Goulburn Valley,O,-,377,-,3WI,-,
438.1250,433.1250,VK3RLE,-,Paps,Mansfield,O,50,678,-,3JFK,-,68
438.1500,433.1500,VK3RIR,-,Bendigo,Bendigo 6/15,T,100,240,3.5,3JED,91.5,
438.1750,433.1750,VK3RUG,-,Devil's River,Alexandra - Lake Eildon,O,100,650,2.5,3JFK,-,68
438.1875,432.7875,VK3RCD,-,Kinglake,Melbourne,O,-,600,-,3HF,-,103
438.2250,433.2250,VK3RMS,Olind2,Olinda,Melbourne,O,100,600,2.5,3WI,91.5,
438.2750,433.2750,VK3RPW,-,portable,Statewide WICEN,O,-,-,-,VWN,-,
438.2750,433.2750,VK3RWE,-,portable,Statewide WICEN,O,-,-,-,VWN,-,
438.2750,433.2750,VK3RWI,-,portable,Statewide WICEN,O,-,-,-,VWN,-,
438.2750,433.2750,VK3RWR,-,portable,Statewide WICEN,O,-,-,-,VWN,-,
438.3250,433.3250,VK3RMH,WatlGn,Wattle Glen,Melbourne 6/15,X,40,120,3,3CNE,-,
438.3500,433.3500,VK3RBN,-,Burrumbeet,Ballarat,O,25,389,2.5,3UBO,91.5,
438.3750,433.3750,VK3RGS,-,Mt Fatigue,Foster,O,-,-,-,3WI,-,
438.3750,433.3750,VK3RHO,Hotham,Mt Hotham,NE Victoria,O,-,-,-,3WI,-,
438.3750,433.3750,VK3RLV,Tassie,Mt Tassie,Latrobe Valley,O,-,730,-,3WI,-,
438.3750,433.3750,VK3RWG,BawSq,Mt Baw Baw,West Gippsland,O,20,1563,2.5,3WI,-,
438.4000,433.4000,VK3RFY,Hillsd,Hillside,Melb EchoL/IRLP,O,100,100,3,3HF,91.5,38
438.4250,433.4250,VK3RCU,-,Mt Moliagul,Bendigo,O,-,527,-,3WI,-,
438.4500,433.4500,VK3RBW,-,Mt Gisborne,Melbourne West,O,150,650,3,3FSK,91.5,103
438.4750,433.4750,VK3RBU,-,Mt Hollowback,Ballarat,O,40,-,2.5,3WI,91.5,
438.5000,433.5000,VK3RGW,-,Grovedale,Geelong West,O,100,148,3,3HF,91.5,103
438.5250,433.5250,VK3RAD,-,Mitcham,Melbourne,O,80,100,2.5,3JFK,123,14
438.5250,433.5250,VK3RNU,-,Mt Stanley,Wangaratta,O,60,1051,2.5,3WI,-,
438.5250,433.5250,VK3RRU,-,Merbein,Mildura,O,20,-,2.5,3RSG,-,5
438.5750,433.5750,VK3RWD,-,Seaview,West Gippsland,O,50,410,2,3BJA,91.5,
438.6250,433.6250,VK3RPW,-,portable,Statewide WICEN,O,-,-,-,VWN,-,
438.6250,433.6250,VK3RWE,-,portable,Statewide,O,-,-,-,VWN,-,
438.6250,433.6250,VK3RWI,-,portable,Statewide WICEN,O,5,-,-,VWN,-,
438.6250,433.6250,VK3RWP,-,portable,Statewide,O,-,-,-,VWN,-,
438.6250,433.6250,VK3RWR,-,portable,Statewide WICEN,O,-,-,-,VWN,-,
438.6750,433.6750,VK3RWU,-,Mt William,Grampians,O,100,1170,3,3WI,91.5,6
438.7000,433.7000,VK3RBM,-,Bacchus Marsh,Bacchus Marsh 11/16,P,100,500,3,3HF,91.5,103
438.7500,433.7500,VK3RHF,-,Olinda,Melbourne,O,100,600,3,3UJ,88.5,8
439.2750,434.2750,VK3RBA,Bunyng,Mt Buninyong,Ballarat,O,50,750,3,3WI,91.5,6
439.3000,434.3000,VK3RYV,Briart,Briarty Hill,Yarra Valley,O,-,-,-,3YVG,-,
439.3250,434.3250,VK3RGH,GreenH,Green Hill,Macedon R & Melb 11/16,P,100,600,3,3HF,91.5,103
439.3500,434.3500,VK3RMP,Caveat,Caveat,North Central 6/15,T,100,670,3,VSA,91.5,102
439.3750,434.3750,VK3RMC,-,Berwick,Berwick,O,25,-,-,3APC,-,
439.4250,434.4250,VK3RNE,BigBen,Mt Big Ben,Wodonga,O,-,1158,-,3WI,-,
439.4250,434.4250,VK3RSV,-,Noble Park,Melbourne EchoLink,O,200,90,4,2CL,91.5,64
439.4500,434.4500,VK3RMN,KLake,Kinglake,Melbourne,O,80,600,-,VWN,91.5,39
439.4750,434.4750,VK3RLP,Cborn,Cranbourne,Mornington Peninsula,O,25,71,3.5,3BJA,91.5,
439.5000,434.5000,VK3RGL,Anakie,Mt Anakie,Geelong,O,45,400,3,3ATL,91.5,
439.5250,434.5250,VK3RPT,-,Pretty Sally,Kilmore,O,100,515,3,3HF,91.5,103
439.5250,434.5250,VK3RTU,MntTay,Mt Taylor,Bairnsdale,O,60,476,2.5,3EGC,-,
439.5500,434.5500,VK3RSB,-,Mt St Leonard,Melbourne,O,100,1028,3,VSA,91.5,102
439.5750,434.5750,VK3RGC,MoPell,Montpellier,Geelong,O,45,160,3,3ATL,91.5,
439.6000,434.6000,VK3RDX,-,Mt Waverley,Melbourne,O,100,132,3,3HF,91.5,103
439.6250,434.6250,VK3RBY,-,Bayswater,Melbourne,O,80,-,2,3MY,88.5,
439.6500,434.6500,VK3RSA,-,Emerald,Melbourne,O,100,370,3,VSA,91.5,102
439.6750,434.6750,VK3RZU,-,Mt Buller,Mansfield 6/15,T,-,1800,-,3WI,-,
439.7000,434.7000,VK3RBP,-,Horsham,Wimmera,O,25,135,-,3III,91.5,
439.7000,434.7000,VK3RRC,RdlsCk,Riddells Creek,Riddells Creek (Scouts),O,-,-,-,VSA,-,
439.7250,434.7250,VK3RPS,Cotrel,Mt Cottrell,Melbourne West,O,200,217,3,3HF,91.5,
439.7500,434.7500,VK3RAJ,Upwey,Upwey,Melbourne SE,O,50,270,3,3AJ,91.5,102
439.7750,434.7750,VK3RGV,Wombat,Mt Wombat,NE Victoria,O,-,800,-,3WI,123,
439.8000,434.8000,VK3RMU,StLeo,Mt St Leonard,Melbourne,O,200,1028,2.5,3WI,-,
439.8250,434.8250,VK3RBL,-,Bambill South,NW Victoria,O,-,-,-,3WI,-,
439.8250,434.8250,VK3RMM,Macdon,Mt Macedon,Melbourne WICEN 5/16,X,100,1011,3,3WI,91.5,
439.8500,434.8500,VK3RPU,-,Arthur's Seat,Melbourne,O,40,-,2.5,3WI,91.5,
439.8750,434.8750,VK3RDU,Major,Mt Major,Goulburn Valley,O,40,377,2.5,3WI,-,
439.8750,434.8750,VK3RMC,-,Narre Warren North,Melbourne SE,O,25,-,-,3APC,-,
439.8750,434.8750,VK3RWL,Warnum,Mt Warrnambool,Warrnambool,O,40,-,0.5,3WI,-,
439.9000,434.9000,VK3RSE,-,Glen Waverley,Melbourne,O,100,-,2,3NH,-,
439.9250,434.9250,VK3RWP,-,portable,Statewide WICEN,O,-,-,-,VWN,-,
439.9500,434.9500,VK3RMG,-,Mt Broughton,Yea - Seymour,O,30,650,3,3JFK,-,68
439.9500,434.9500,VK3RPL,Portld,Portland,Portland,O,200,100,3,3AJ,91.5,100,101
439.9750,434.9750,VK3RSS,-,portable,Statewide,O,-,-,-,VSA,-,40
439.9750,434.9750,VK3RWP,-,portable,Statewide,O,-,-,-,VWN,-,
,,,,,,,,,,,,{{70CM;FM;VK4}}
438.0250,433.0250,VK4RTQ,-,Mt Kynoch,Toowoomba,O,50,500,3.5,4JV,91.5,
438.0500,433.0500,VK4RGT,-,Maurice Hill,Gladstone City,O,83,212,2,QGL,-,
438.0500,433.0500,VK4RZD,-,Mt Perseverance,Ipswich to T'mba Range,O,100,700,1,4BWI,91.5,70
438.0750,433.0750,VK4RSC,-,Wilkes Knob,Sunshine Coast,O,20,450,-,4WIS,91.5,
438.1000,433.1000,VK4RZA,-,Springbrook,Gold Coast,O,-,940,1,4BWI,91.5,70
438.1250,433.1250,VK4RZC,-,Wilkes Knob,Maleny,O,-,470,1,4BWI,91.5,70
438.1750,433.1750,VK4RSL,-,Noosa Heads,Sunshine Coast North,O,25,100,4.5,4WIS,91.5,
438.2000,433.2000,VK4RZB,-,Mt Coot-tha,Brisbane,O,100,560,1,4BWI,91.5,70
438.2250,433.2250,VK4RAT,-,Mt Stuart,Townsville,O,10,584,10,4WIT,91.5,
438.2250,433.2250,VK4RAR,-,Mt Archer,Rockhampton,O,25,608,4,4WIR,91.5,49
438.2250,432.8250,VK4RPH,-,Mt Haren,Kuranda,O,50,250,-,4BS,123,
438.2750,433.2750,VK4RBR,-,Mt Gravatt,Brisbane,O,110,80,-,4WIE,-,
438.3250,433.3250,VK4RRC,-,Wamuran,Redcliffe,O,25,230,4.5,4RC,91.5,
438.3750,433.3750,VK4RWM,-,North Ipswich,Ipswich,O,70,120,4.5,4WIP,91.5,47
438.4250,433.4250,VK4RBX,-,The Knobby,Ipswich,O,70,120,4.5,4AB,123,72
438.5000,433.5000,VK4RHR,-,Hodgson Range,Clermont,O,50,520,-,4WCH,-,
438.5000,433.5000,VK4RLW,-,O'Briens Mtn,Logan/Bdesert,O,25,315,10,4OD,91.5,
438.5750,433.5750,VK4RSS,-,Oceanview,Brisbane North,O,25,530,5,4RV,91.5,34
438.6000,433.6000,VK4RGC,-,Springbrook,Gold Coast,O,150,1010,4,4WIG,123,84
438.6250,433.6250,VK4RAG,-,Spring Hill,Brisbane WICEN,O,20,90,-,4BWI,-,
438.6250,433.6250,VK4RWI,-,portable,Statewide WICEN,O,-,-,-,QWN,-,
438.6500,433.6500,VK4REG,-,Mt Mowbullan,Bunya Mtns,O,100,1700,5,4JV,91.5,
438.6750,433.6750,VK4RWS,-,Nebo,Mackay,O,-,-,-,4DW,91.5,
438.7000,433.7000,VK4RET,-,Mt Kiangarow,S Burnet & D/Downs,O,12,1145,5,4BAD,91.5,
438.7500,433.7500,VK4RLB,-,Woodridge,Logan,O,25,60,4,4ARN,-,3
438.7500,433.7500,VK4RPU,-,Mt Perry,Monto,O,-,-,-,4PU,-,
438.7750,433.7750,VK4RBU,MtGoon,Mt Goonaneman,Bundaberg/Maryborough,O,10,620,4,4BW,-,58
439.2750,434.2750,VK4RDD,-,O'Rourke's House,Toowoomba,O,35,702,4,4WID,91.5,
439.3000,434.3000,VK4RBM,-,Blue Mtn,Mackay 6/15,T,25,-,-,4WIM,-,42
439.3000,434.3000,VK4RBQ,-,Mt Coot-Tha,Brisbane 9/15,X,-,-,-,4WIG,-,
439.3000,434.3000,VK4RSM,-,Spring Mtn,Springfield,O,25,-,-,4AB,91.5,47
439.3250,434.3250,VK4RAI,-,The Knobby,Ipswich,O,-,-,4,4WIP,91.5,49
439.3750,434.3750,VK4RNL,-,Hervey Bay,N. Sunshine Coast 6/15,P,25,90,5,4NL,-,
439.6250,434.6250,VK4RSA,-,Sarina,Mackay,O,25,400,4,4RM,-,49
439.7250,434.7250,VK4RBS,-,Alexandra Hills,Redlands,O,25,70,3.5,4BAY,91.5,
439.7500,434.7500,VK4RMA,-,Mt Alma,Gladstone/Rockhampton,O,50,90,3,4WIR,91.5,
439.7750,434.7750,VK4RBW,BundaN,Watalgan,N Bundaberg,O,50,-,4,4BW,-,
439.7750,434.7750,VK4RBP,-,Butchers Creek,Atherton Tableland,O,25,600,4,4FUY,-,
439.8000,434.8000,VK4RGL,-,Lady Larcom,Gladstone,O,150,330,2.5,4HN,91.5,63
439.8500,434.8500,VK4RCA,-,Cairns,Cairns,O,50,50,4,4HM,-,
439.8750,434.8750,VK4RCQ,-,Banana Range,Monto,O,-,-,-,4RCQ,-,
