CH No,Frequency,Dup,Offset,TS,Mode,Name,SKIP,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign
38,156.475000,OFF,0.600000,5kHz,FM,MVHF CH69 Navy,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
39,156.525000,OFF,0.600000,5kHz,FM,MVHF CH70 DSC,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
40,156.575000,OFF,0.600000,5kHz,FM,MVHF CH71,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
41,156.625000,OFF,0.600000,5kHz,FM,MVHF CH72,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
42,156.675000,OFF,0.600000,5kHz,FM,MVHF CH73 W S-S,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
43,156.725000,OFF,0.600000,5kHz,FM,MVHF CH74 W S-S,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
44,156.775000,OFF,0.600000,5kHz,FM,MVHF CH75,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
45,156.825000,OFF,0.600000,5kHz,FM,MVHF CH76,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
46,156.875000,OFF,0.600000,5kHz,FM,MVHF CH77 W S-S,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
47,156.925000,DUP+,4.600000,5kHz,FM,MVHF CH78,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
48,156.975000,DUP+,4.600000,5kHz,FM,MVHF CH79,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
49,157.025000,DUP+,4.600000,5kHz,FM,MVHF CH80 - Rep,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
50,157.075000,DUP+,4.600000,5kHz,FM,MVHF CH81 - Rep,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
51,157.125000,DUP+,4.600000,5kHz,FM,MVHF CH82,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
52,157.175000,DUP+,4.600000,5kHz,FM,MVHF CH83,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
53,157.225000,DUP+,4.600000,5kHz,FM,MVHF CH84,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
54,157.275000,DUP+,4.600000,5kHz,FM,MVHF CH85,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
55,157.325000,DUP+,4.600000,5kHz,FM,MVHF CH86,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
56,157.375000,OFF,0.600000,5kHz,FM,MVHF CH87,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
57,157.425000,OFF,0.600000,5kHz,FM,MVHF CH88,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
58,161.975000,OFF,0.600000,5kHz,FM,MVHF CH87B AIS,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
59,162.025000,OFF,0.600000,5kHz,FM,MVHF CH88B AIS,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
60,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,
